No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
18,IPC,Batch related operations,Combine related operations to reduce IPC overhead,Batch multiple related calls,Individual calls for related operations,invoke('batch_operations' operations),Multiple individual invoke calls,Medium,
19,Performance,Enable release optimizations,Configure Cargo.toml for optimal release builds,Release profile optimization flags,Debug builds in production,lto = true opt-level = "s" panic = "abort",Default debug configuration,High,https://tauri.app/v1/guides/building/app-size
20,Performance,Use lazy initialization,Initialize heavy resources only when needed,Lazy static initialization of expensive resources,Eager initialization of all resources,lazy_static! { static ref CACHE: Mutex<HashMap> },Initialize all resources at startup,Medium,
21,Performance,Minimize bundle size,Enable only necessary features and dependencies,Feature flags for optional functionality,Include unused dependencies and features,tauri = { version = "2.0" features = ["window"] },tauri = { version = "2.0" features = ["all"] },Medium,https://tauri.app/v1/guides/building/app-size
22,Performance,Use async for I/O operations,Make I/O operations async to avoid blocking,Async filesystem and network operations,Synchronous blocking operations in commands,async fn read_file(path: String) -> Result<String>,fn read_file(path: String) -> String (blocking),High,
23,Performance,Cache expensive computations,Cache results of expensive operations,In-memory caching for repeated operations,Recompute expensive operations repeatedly,static CACHE: Lazy<Mutex<HashMap>> ,Recompute same result every time,Medium,
24,FileSystem,Use appropriate directory APIs,Access correct directories for different data types,Use proper directory APIs for data types,Hardcode filesystem paths,let app_dir = app.path().app_data_dir()?,let path = "/usr/local/app/data",High,https://v2.tauri.app/plugin/file-system/
25,FileSystem,Check file permissions,Verify read/write permissions before operations,Check permissions before file operations,Assume filesystem access without checks,if path.try_exists()? { fs::read(path) },Direct file access without permission check,High,https://v2.tauri.app/plugin/file-system/
26,FileSystem,Handle file operation errors,Properly handle filesystem errors with user feedback,Comprehensive error handling for file ops,Silent failures in filesystem operations,match fs::write(&path &data) { Ok(_) => {} Err(e) => {} },fs::write(&path &data).unwrap(),High,https://v2.tauri.app/plugin/file-system/
27,FileSystem,Use path manipulation APIs,Use proper path APIs for cross-platform compatibility,Path::join for path construction,String concatenation for paths,path.join("subdir").join("file.txt"),path + "/subdir/file.txt",Medium,https://v2.tauri.app/plugin/file-system/
28,CrossPlatform,Test on all target platforms,Verify functionality across Windows macOS Linux,Platform-specific testing for each feature,Test only on development platform,CI/CD with platform-specific builds,Test only on macOS assume compatibility,High,
29,CrossPlatform,Handle platform differences,Account for platform-specific behaviors,Platform-specific code paths when needed,Assume identical behavior across platforms,#[cfg(target_os = "windows")] specific_code(),Same code path for all platforms,Medium,
30,CrossPlatform,Use platform-appropriate UI patterns,Follow platform UI conventions and guidelines,Native UI patterns per platform,Generic UI ignoring platform conventions,Platform-specific title bar behavior,Same UI pattern across all platforms,Medium,https://v2.tauri.app/learn/window-customization/
31,CrossPlatform,Handle file path separators,Use Path APIs instead of hardcoded separators,Cross-platform path handling,Hardcoded forward or back slashes,Path::new(&path).join("file"),"/path/to/file" or "\\path\\to\\file",High,
32,Updates,Implement auto-updater properly,Configure secure auto-update mechanism,Signed updates with proper verification,Unsigned updates or no verification,updater with signature verification,Download and execute unsigned updates,High,https://v2.tauri.app/plugin/updater/
33,Updates,Handle update errors gracefully,Provide fallback for failed updates,User-friendly update error handling,Silent update failures,Update error dialog with retry option,Failed update without user notification,Medium,https://v2.tauri.app/plugin/updater/
34,Updates,Check for updates appropriately,Balance update frequency with user experience,Periodic background update checks,Excessive update checking or none,Check on startup and every 24 hours,Check every minute or never,Medium,https://v2.tauri.app/plugin/updater/
35,Updates,Notify users about updates,Inform users about available updates and changes,Clear update notifications with changelog,Silent updates without user knowledge,Update dialog with changelog and choice,Automatic update without notification,Medium,
36,NativeAPI,Use plugins for native functionality,Leverage official plugins for native features,Official Tauri plugins for native APIs,Direct native API bindings,use tauri_plugin_notification,Custom FFI bindings for basic features,Medium,https://github.com/tauri-apps/plugins-workspace
37,NativeAPI,Handle native API errors,Properly handle native operation failures,Error handling for all native operations,Assume native operations always succeed,match notification.show() { Ok(_) => {} Err(e) => {} },notification.show().unwrap(),High,
38,NativeAPI,Request permissions appropriately,Request native permissions when needed,Runtime permission requests for protected APIs,Assume permissions are always granted,Request notification permission before use,Use notifications without permission,High,
39,NativeAPI,Use appropriate native APIs,Choose right native API for functionality,Platform-appropriate native API selection,Generic solutions when native APIs exist,Use native file picker dialog,HTML file input for desktop file selection,Medium,
40,UXPatterns,Implement proper loading states,Show appropriate loading indicators,Loading states for long-running operations,No feedback for long operations,Progress bar or spinner during operations,Operations with no visual feedback,Medium,
41,UXPatterns,Handle offline gracefully,Provide offline functionality where possible,Offline-first design with sync,Require constant internet connectivity,Local storage with background sync,Fail completely without internet,Medium,
42,UXPatterns,Use native notifications,Leverage system notifications appropriately,Native notification system integration,Custom notification implementations,System notification API,Custom toast notifications,Medium,https://v2.tauri.app/plugin/notification/
43,UXPatterns,Respect system preferences,Honor user's system settings and themes,Follow system theme and accessibility settings,Override system preferences,Respect prefers-color-scheme,Force light/dark theme,Medium,
44,Accessibility,Support keyboard navigation,Ensure full keyboard accessibility,Complete keyboard navigation support,Mouse-only interaction patterns,tabindex and keyboard event handling,No keyboard access to functionality,High,
45,Accessibility,Use semantic HTML,Proper HTML semantics in webview content,Semantic elements for screen readers,Div elements for everything,<button> for actions <nav> for navigation,<div onclick="..."> for buttons,High,
46,Accessibility,Provide ARIA labels,Add appropriate ARIA labels and roles,ARIA attributes for complex widgets,Missing labels on interactive elements,aria-label on custom controls,Unlabeled buttons and inputs,High,
47,Accessibility,Support screen readers,Ensure screen reader compatibility,Test with screen reader software,Ignore assistive technology,Live regions for dynamic content,Dynamic content without announcements,High,
48,ErrorHandling,Use proper error types,Define specific error types for different failures,Custom error types with context,Generic string errors,#[derive(Error Debug)] enum AppError,return Err("something failed".to_string()),Medium,
49,ErrorHandling,Log errors appropriately,Implement comprehensive error logging,Structured logging with appropriate levels,Silent failures or excessive logging,log::error!("Failed to save: {}" e),println!("Error: {}" e) or silent fail,High,
50,ErrorHandling,Provide user-friendly error messages,Show helpful error messages to users,Clear actionable error messages for users,Technical error messages or silent fails,User-friendly error dialog,Raw error message or no feedback,High,
51,ErrorHandling,Implement error recovery,Provide recovery options for common errors,Graceful degradation and retry mechanisms,Hard failures without recovery options,Retry button for network errors,Crash on first error,Medium,
52,Testing,Write integration tests,Test Tauri-specific functionality,Test window management IPC commands,Only unit tests without integration,WebDriver tests for desktop behavior,No testing of desktop features,Medium,
53,Testing,Test on target platforms,Verify functionality on deployment platforms,Cross-platform testing in CI/CD,Test only on development machine,GitHub Actions with matrix builds,Local testing only,High,
54,Testing,Mock external dependencies,Use mocks for external services and APIs,Dependency injection for testability,Hard dependencies on external services,Mock HTTP clients and file system,Direct API calls in tests,Medium,
55,AntiPatterns,Avoid blocking the main thread,Keep main thread responsive,Async operations for heavy work,Synchronous heavy operations on main thread,tokio::spawn for CPU-intensive work,Heavy computation in tauri command,High,
56,AntiPatterns,Don't expose entire API surface,Limit frontend access to necessary APIs only,Minimal API exposure principle,Expose all backend functions to frontend,Specific command handlers only,invoke_handler with all functions,High,
57,AntiPatterns,Avoid large bundle sizes,Optimize dependencies and features,Minimal dependency footprint,Include unnecessary dependencies,Feature gates for optional functionality,Include all crate features,Medium,
58,AntiPatterns,Don't ignore security warnings,Address all security audit findings,Regular security audits and updates,Ignore or dismiss security warnings,cargo audit and address findings,Skip security considerations,High,
59,Architecture,Use proper separation of concerns,Keep frontend and backend responsibilities separate,Clear boundary between frontend/backend,Mixed frontend and backend logic,Business logic in Rust commands only,Business logic mixed in frontend,Medium,
60,Architecture,Design for scalability,Structure code for future growth,Modular architecture with clear interfaces,Monolithic structure without separation,Plugin architecture with clear APIs,Everything in main.rs file,Medium,
