No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
28,Local / Neighborhood Legal Services,Conversion + Feature-Rich,Minimalism + Trust & Authority,Local trust navy + Warm accent,Clear + Functional typography,Map hover + Attorney card reveals,"{""must_have_a"": ""office-location-map"", ""must_have_b"": ""consultation-booking""}",No location info + Hidden reviews,HIGH
29,Contract Review UI,Document Analysis Workspace,Data-Dense + Minimalism,Clean navy + Clause-flag colors + Neutral,Clear + Functional typography,Clause highlighting + Redline reveals (200-300ms),"{""must_have_a"": ""clause-comparison"", ""must_have_b"": ""risk-flag-legend"", ""if_ai_assisted"": ""add-suggestion-panel""}",Cluttered redlines + Harsh flashing alerts,HIGH
30,Personal Injury Firm,Storytelling + Feature-Rich,Trust & Authority + Motion-Driven,Confident navy + Gold + Success green,Bold + Reassuring typography,Verdict reveals + Client-story cards,"{""must_have_a"": ""case-results"", ""must_have_b"": ""no-fee-unless-win-messaging""}",Ambulance-chaser cliches + Unsubstantiated promises,HIGH
31,Restitution / Fee Recovery View,Hero-Centric + Conversion,Minimalism + Trust & Authority,Trust navy + Recovery green + Neutral,Clear + Confident typography,Recovery figure reveals + Timeline animations,"{""must_have_a"": ""fee-transparency"", ""must_have_b"": ""outcome-timeline""}",Hidden fee structure + Overstated recovery,HIGH
32,Criminal Defense Firm,Urgent Trust + Conversion,Trust & Authority + Dark Mode,Deep charcoal + Navy + Gold urgency,Bold + Reassuring typography,Emergency contact highlight + Result reveals,"{""must_have_a"": ""24-7-contact"", ""must_have_b"": ""case-results""}",Judgmental imagery + Hidden availability,HIGH
33,Legal Fitness / Compliance Tracker,Feature-Rich + Data,Minimalism + Data-Dense,Compliance navy + Status green/amber/red,Bold + Functional typography,Progress ring animations + Deadline unlocks,"{""must_have_a"": ""deadline-tracking"", ""must_have_b"": ""compliance-checklists""}",Static design + No status cues,HIGH
34,Real Estate Law / Closings,Hero-Centric + Feature-Rich,Minimalism + Trust & Authority,Trust Blue + Gold + White,Professional + Confident,Document-step reveals + Closing timeline,"{""if_luxury_property"": ""add-refined-imagery"", ""must_have"": ""closing-checklist""}",Confusing process + No document tracker,HIGH
35,Immigration Journey Storytelling,Storytelling-Driven + Hero,Accessible & Ethical + Motion-Driven,Hopeful trust blue + Warm accents,Inspirational + Reassuring,Process parallax + Milestone animations,"{""if_experience_focused"": ""use-storytelling"", ""must_have"": ""multilingual-support""}",Generic stock photos + Complex process,HIGH
36,Legal Concierge / White-Glove,Hero-Centric + Social Proof,Liquid Glass + Minimalism,Warm neutrals + Gold + Navy,Elegant + Welcoming typography,Service reveals + Attorney-match animations,"{""must_have_a"": ""private-consultation"", ""must_have_b"": ""dedicated-counsel""}",Impersonal tone + Complex onboarding,HIGH
37,Estate & Trust Milestone Planner,Storytelling + Social Proof,Soft UI Evolution + Minimalism,Soft navy + Gold + Ivory,Elegant + Reassuring typography,Milestone reveals + Timeline animations,"{""must_have_a"": ""document-checklist"", ""must_have_b"": ""beneficiary-planning-tools""}",Generic templates + No planning guidance,HIGH
38,Legal Services (General Practice),Trust & Authority + Minimal,Trust & Authority + Minimalism,Navy Blue + Gold + White,Professional + Authoritative typography,Practice area reveal + Attorney profile animations,"{""must_have_a"": ""case-results"", ""must_have_b"": ""credential-display""}",Outdated design + Hidden credentials + AI purple/pink gradients,HIGH
39,Legal Insurance / Coverage Platform,Conversion + Trust,Trust & Authority + Flat Design,Trust Blue + Green + Neutral,Clear + Professional typography,Coverage calculator animations + Plan comparison,"{""must_have_a"": ""coverage-calculator"", ""must_have_b"": ""plan-comparison""}",Confusing pricing + No trust signals + AI purple/pink gradients,HIGH
40,Legal Billing / Invoice View,Trust & Authority + Feature,Minimalism + Accessible & Ethical,Navy + Trust Blue + Gold,Professional + Trustworthy typography,Smooth number animations + Payment-status indicators,"{""must_have_a"": ""itemized-billing"", ""must_have_b"": ""trust-account-clarity""}",Playful design + Opaque line items + AI purple/pink gradients,HIGH
41,Online Legal Course / CLE,Feature-Rich + Social Proof,Minimalism + Micro-interactions,Scholarly navy + Progress green,Friendly + Studious typography,Progress bar animations + Certificate reveals,"{""must_have_a"": ""cle-credit-tracking"", ""must_have_b"": ""video-player""}",Boring design + No accreditation display,HIGH
42,Legal Aid / Pro Bono Nonprofit,Storytelling + Trust,Accessible & Ethical + Organic Biophilic,Cause navy + Trust + Warm,Heartfelt + Readable typography,Impact counter animations + Story reveals,"{""must_have_a"": ""impact-stories"", ""must_have_b"": ""eligibility-transparency""}",No impact data + Complex eligibility jargon,HIGH
43,Legal Podcast / Audio,Feature-Rich Showcase,Dark Mode (OLED) + Minimalism,Dark navy + Audio waveform accents,Modern + Clear typography,Waveform visualization + Episode transitions,"{""must_have_a"": ""audio-player-ux"", ""if_discovery_focused"": ""add-topic-recommendations""}",Cluttered layout + Poor audio player UX,HIGH
44,Legal Video / Webinar Platform,Hero-Centric + Feature-Rich,Dark Mode (OLED) + Motion-Driven,Dark bg + Brand navy accent,Bold + Engaging typography,Video player animations + Session carousel,"{""must_have"": ""continue-watching"", ""if_cle_credit"": ""add-credit-tracking""}",Static layout + Slow video player,HIGH
45,Legal Job Board / Recruiting,Conversion + Feature-Rich,Flat Design + Minimalism,Professional Navy + Success Green + Neutral,Clear + Professional typography,Search/filter animations + Application flow,"{""must_have"": ""advanced-search"", ""if_salary_focused"": ""highlight-compensation""}",Outdated forms + Hidden filters,HIGH
46,Legal Marketplace / Find-a-Lawyer,Feature-Rich + Social Proof,Flat Design + Trust & Authority,Trust navy + Category accents + Success green,Modern + Credible typography,Review star animations + Attorney card hover,"{""must_have_a"": ""verified-attorney-profiles"", ""must_have_b"": ""secure-payment""}",Low trust signals + Unverified reviews,HIGH
47,Court Deadline / Docket Tracking,Feature-Rich + Real-Time,Minimalism + Data-Dense,Court navy + Deadline red + Status green,Clear + Functional typography,Real-time deadline animation + Status pulse,"{""must_have_a"": ""deadline-tracking"", ""must_have_b"": ""court-rule-integration""}",Static tracking + Missed-deadline blind spots + AI purple/pink gradients,HIGH
48,Legal Document Automation,Feature-Rich Showcase,Minimalism + Flat Design,Clean navy + Field-highlight accent,Clear + Precise typography,Field automation + Template reveals,"{""must_have"": ""template-library"", ""if_clause_focused"": ""add-clause-flags""}",Generic design + No validation + AI purple/pink gradients,MEDIUM
49,Legal Project / Matter Management,Hero-Centric + Feature-Rich,Minimalism + Data-Dense,Grey + Deadline gold + Navy,Professional + Bold typography,Matter timeline + Milestone animations,"{""must_have"": ""matter-portfolio"", ""if_team_collaboration"": ""add-real-time-updates""}",Flat single-view layouts + No timeline + AI purple/pink gradients,HIGH
50,IP / Patent Law Firm,Hero-Centric + Feature-Rich,Minimalism + 3D Diagram Preview,Innovation navy + Metallic accent,Bold + Precise typography,Patent-portfolio reveals + Filing timeline,"{""must_have_a"": ""portfolio-highlights"", ""must_have_b"": ""filing-process-guide""}",Overly technical jargon + Poor process clarity,HIGH
51,Legal Portfolio / Notable Matters,Storytelling-Driven + Hero,Motion-Driven + Minimalism,Charcoal + Navy + Minimal gold,Elegant + Confident typography,Full-bleed matter showcase + Result reveals,"{""must_have"": ""representative-matters"", ""if_confidential"": ""anonymize-clients""}",Text-heavy + Poor matter showcase,HIGH
52,Legal Coworking / Shared Chambers,Hero-Centric + Feature-Rich,Minimalism + Glassmorphism,Professional navy + Wood tones + Accent,Modern + Refined typography,Space tour reveals + Amenity animations,"{""must_have_a"": ""virtual-tour"", ""must_have_b"": ""membership-booking""}",Outdated photos + Confusing membership tiers,MEDIUM
53,Legal Emergency / 24-7 Counsel,Conversion-Optimized + Trust,Flat Design + Trust & Authority,Trust Navy + Urgent gold + Grey,Professional + Clear typography,Emergency contact highlight + Response-time cues,"{""must_have_a"": ""emergency-contact"", ""must_have_b"": ""bar-credentials-display""}",Hidden contact info + No availability assurance,HIGH
54,Guardianship / Child Welfare Law,Social Proof + Trust,Soft UI Evolution + Accessible & Ethical,Calm navy + Warm neutral + Trust,Compassionate + Clear typography,Portal reveals + Process-step animations,"{""must_have_a"": ""confidentiality-assurance"", ""must_have_b"": ""supportive-guidance""}",Cold tone + Hidden process information,HIGH
55,Elder Law / Accessible Legal,Trust & Authority + Accessible,Accessible & Ethical + Soft UI Evolution,Calm Blue + Warm neutrals + Large text,Large + Clear typography (18px+),Large touch targets + Clear navigation,"{""must_have_a"": ""wcag-aaa"", ""must_have_b"": ""family-caregiver-portal""}",Small text + Complex navigation + AI purple/pink gradients,HIGH
56,Legal Clinic / Consultation Center,Trust & Authority + Conversion,Accessible & Ethical + Minimalism,Trust Navy + Clean white,Professional + Readable typography,Online booking flow + Attorney profile reveals,"{""must_have_a"": ""appointment-booking"", ""must_have_b"": ""intake-information""}",Outdated interface + Confusing booking + AI purple/pink gradients,HIGH
57,Notary / Legal Document Services,Conversion-Optimized + Trust,Flat Design + Accessible & Ethical,Service navy + Trust Blue + Clean white,Clear + Functional typography,Document upload flow + Appointment reminders,"{""must_have_a"": ""document-management"", ""must_have_b"": ""identity-verification-cues""}",Confusing layout + Privacy concerns + AI purple/pink gradients,HIGH
58,Employment / Labor Law Firm,Social Proof + Conversion,Soft UI Evolution + Minimalism,Trust navy + Neutral + Confident gold,Friendly + Professional typography,Case-story reveals + Testimonial carousel,"{""must_have_a"": ""case-results"", ""must_have_b"": ""consultation-booking""}",Cold tone + No testimonials,HIGH
59,Tax Law / Resolution Firm,Social Proof + Trust,Minimalism + Trust & Authority,Trust navy + Resolution green + Warm,Friendly + Credible typography,Savings-figure reveals + Process animations,"{""must_have_a"": ""resolution-results"", ""must_have_b"": ""consultation-booking""}",Overstated savings + Hidden fee structure,MEDIUM
60,Legal Wellness / Attorney Wellbeing,Hero-Centric + Conversion,Organic Biophilic + Soft UI Evolution,Calming sage + Navy + Warm accent,Elegant + Calming typography,Resource reveals + Gentle transitions,"{""must_have_a"": ""confidential-resources"", ""must_have_b"": ""peer-support""}",Harsh imagery + Judgmental tone,MEDIUM
61,Legal Heritage / Firm History,Storytelling + Hero-Centric,Motion-Driven + Storytelling-Driven,Deep burgundy + Gold + Charcoal,Heritage + Authoritative typography,Timeline reveals + Founding-story scroll,"{""must_have_a"": ""firm-milestones"", ""must_have_b"": ""founding-story""}",Generic corporate pages + No heritage story,HIGH
62,Aviation / Transportation Law,Conversion + Feature-Rich,Minimalism + Glassmorphism,Sky navy + Trust accents,Clear + Professional typography,Case-type reveals + Process animations,"{""must_have_a"": ""case-type-navigation"", ""must_have_b"": ""mobile-first""}",Complex navigation + Poor mobile,HIGH
63,Legal News / Law Media Platform,Hero-Centric + Feature-Rich,Minimalism + Flat Design,Editorial navy + High contrast,Clear + Readable typography,Breaking legal-news badge + Article reveals,"{""must_have_a"": ""mobile-first-reading"", ""must_have_b"": ""practice-area-navigation""}",Cluttered layout + Slow loading,HIGH
64,Legal Magazine / Law Review,Storytelling + Hero-Centric,Swiss Modernism + Motion-Driven,Editorial navy + Clean white,Editorial + Elegant typography,Article transitions + Section reveals,"{""must_have_a"": ""article-showcase"", ""must_have_b"": ""newsletter-signup""}",Poor typography + Slow loading,HIGH
65,Freelance / Contract Attorney Platform,Feature-Rich + Conversion,Flat Design + Minimalism,Professional Navy + Success Green,Clear + Professional typography,Skill match animations + Review reveals,"{""must_have_a"": ""attorney-portfolio-display"", ""must_have_b"": ""skill-matching""}",Poor profiles + No verified reviews,HIGH
66,Legal Marketing Agency,Storytelling + Feature-Rich,Trust & Authority + Motion-Driven,Bold navy + Gold accent,Bold + Confident typography,Portfolio reveals + Results animations,"{""must_have_a"": ""case-study-portfolio"", ""must_have_b"": ""results-metrics""}",Generic design + Hidden client results,HIGH
67,Legal Event / CLE Conference,Hero-Centric + Feature-Rich,Minimalism + Motion-Driven,Professional navy + Accent gold,Bold + Engaging typography,Countdown timer + Registration flow,"{""must_have_a"": ""registration"", ""must_have_b"": ""agenda-and-credits""}",Confusing registration + No CLE credit info,HIGH
68,Bar Association / Membership,Social Proof + Conversion,Trust & Authority + Soft UI Evolution,Institutional navy + Gold accents,Professional + Engaging typography,Member counter + Benefit reveals,"{""must_have_a"": ""member-benefits"", ""must_have_b"": ""membership-tiers""}",Hidden benefits + No membership clarity,HIGH
69,Legal Newsletter Platform,Minimal + Conversion,Minimalism + Flat Design,Firm navy + Clean white + CTA,Clean + Readable typography,Subscribe form + Archive reveals,"{""must_have_a"": ""subscribe-form"", ""must_have_b"": ""sample-content""}",Complex signup + No preview,MEDIUM
70,DIY Legal Documents / Downloads,Feature-Rich + Conversion,Minimalism + Flat Design,Trust navy + Success green + Neutral,Modern + Clear typography,Template preview + Instant delivery animations,"{""must_have_a"": ""document-preview"", ""must_have_b"": ""state-specific-validity""}",No preview + Unclear jurisdiction validity,HIGH
71,Faith-Based / Community Legal Aid,Hero-Centric + Social Proof,Accessible & Ethical + Soft UI Evolution,Warm navy + Trust + White,Welcoming + Clear typography,Service-hours highlights + Clinic calendar,"{""must_have_a"": ""clinic-hours"", ""must_have_b"": ""eligibility-info""}",Outdated design + Hidden clinic info,MEDIUM
72,Sports & Entertainment Law,Hero-Centric + Feature-Rich,Motion-Driven + Trust & Authority,Confident navy + Energetic gold accents,Bold + Impactful typography,Client-roster reveals + Deal-highlight cards,"{""must_have_a"": ""representative-clients"", ""must_have_b"": ""practice-highlights""}",Static content + Hidden track record,HIGH
73,Legal Archive / Case Library,Storytelling + Feature-Rich,Minimalism + Motion-Driven,Scholarly neutrals + Navy accents,Elegant + Minimal typography,Archive browsing + Case-brief reveals,"{""must_have_a"": ""advanced-search"", ""must_have_b"": ""citation-info""}",Cluttered layout + No online access,HIGH
74,Mediation / Arbitration Services,Hero-Centric + Conversion,Minimalism + Soft UI Evolution,Neutral navy + Calm accents + Gold,Balanced + Professional typography,Process reveals + Neutral-party profiles,"{""must_have_a"": ""process-explanation"", ""must_have_b"": ""scheduling""}",Adversarial tone + Confusing process,HIGH
75,Legal Language / Multilingual Immigration UI,Feature-Rich + Social Proof,Accessible & Ethical + Minimalism,Warm trust blue + Hopeful accents,Friendly + Clear typography,Language switcher + Process animations,"{""must_have_a"": ""multilingual-support"", ""must_have_b"": ""plain-language-mode""}",English-only + Complex legal jargon,HIGH
76,Legal Recruiting / Lateral Hire,Feature-Rich + Social Proof,Minimalism + Trust & Authority,Professional navy + Brand accent + Success,Technical + Clear typography,Firm-culture reveals + Outcome highlights,"{""must_have_a"": ""firm-culture"", ""must_have_b"": ""career-outcomes""}",Vague roles + Hidden compensation,HIGH
77,Legal Security / Data Protection Platform,Trust & Authority + Real-Time,Minimalism + Dark Mode (OLED),Secure navy + Alert accents + Deep charcoal,Technical + Clear typography,Threat visualization + Alert animations,"{""must_have_a"": ""real-time-monitoring"", ""must_have_b"": ""compliance-display""}",Light mode only + Poor data viz,HIGH
78,E-Discovery Review Tool,Document Review Workspace,Dark Mode (OLED) + Data-Dense,Dark neutral + Tag colors + Trust accent,Precise + Functional typography,Document tagging + Batch-review feedback,"{""must_have_a"": ""keyboard-shortcuts"", ""must_have_b"": ""tag-legend""}",Light mode only + Slow document loading,HIGH
79,Regulatory / Compliance Law Firm,Storytelling + Data,Minimalism + Trust & Authority,Sterile white + Compliance navy + Accent,Precise + Clear typography,Regulation reveals + Compliance-map animations,"{""must_have_a"": ""regulatory-accuracy"", ""must_have_b"": ""credibility-cues""}",Cluttered data + Poor credibility,HIGH
80,Maritime / Admiralty Law,Immersive + Feature-Rich,Minimalism + Dark Mode,Deep navy + Nautical accents,Authoritative + Precise typography,Case-type reveals + Jurisdiction map,"{""must_have_a"": ""jurisdiction-clarity"", ""must_have_b"": ""case-type-navigation""}",Generic design + Poor jurisdiction info,HIGH
81,Construction / Real Estate Law,Portfolio + Hero-Centric,Minimalism + High Imagery,Charcoal + Navy + Blueprint accent,Professional + Elegant typography,Project-matter gallery + Process reveals,"{""must_have_a"": ""representative-matters"", ""must_have_b"": ""process-guide""}",Poor imagery + Cluttered layout,HIGH
82,Contract Lifecycle Management (CLM),Feature-Rich + Interactive,Minimalism + Data-Dense,Clean navy + Stage colors + Neutral,Precise + Functional typography,Contract stage animations + Approval feedback,"{""must_have_a"": ""stage-visualization"", ""must_have_b"": ""approval-workflow""}",Generic dashboard + No stage clarity,HIGH
83,Legal Biotech / Life-Sciences Counsel,Data-Dense + Storytelling,Minimalism + Clean Science,Sterile white + Navy + Accent,Scientific + Clear typography,Practice reveals + Matter-outcome animations,"{""must_have_a"": ""regulatory-expertise"", ""must_have_b"": ""credibility-cues""}",Generic health-app look + No credibility,HIGH
84,Legal Fleet / Case Assignment Manager,Real-Time + Feature-Rich,Data-Dense + Real-Time,Neutral navy + Alert accents + Status colors,Technical + Functional typography,Assignment animations + Workload awareness,"{""must_have_a"": ""real-time-assignment"", ""must_have_b"": ""conflict-alerts""}",Slow updates + Poor workload visibility,HIGH
85,Legal Design / Visual Contracts,Showcase + Feature-Rich,Minimalism + Editorial,Neutral navy + Clause accents,Minimal + Content-focused typography,Clause gallery + Annotation reveals,"{""must_have_a"": ""fast-loading"", ""must_have_b"": ""plain-language-cues""}",Heavy chrome + Illegible clause layout,HIGH
86,Legal Spatial / Courtroom Visualization,Immersive + Interactive,Minimalism + Glassmorphism,Frosted navy + System accents + Depth,Precise + Readable typography,Depth hierarchy + Exhibit interactions,"{""must_have_a"": ""exhibit-clarity"", ""must_have_b"": ""evidence-organization""}",Flat cluttered layout + Poor evidence hierarchy,HIGH
87,Environmental / Energy Law,Data + Trust,Organic Biophilic + Minimalism,Earth navy + Trust blue + Accent,Clear + Informative typography,Impact reveals + Matter-outcome animations,"{""must_have_a"": ""regulatory-transparency"", ""must_have_b"": ""matter-outcomes""}",Vague claims + No real matter data,HIGH
88,Legal Billing / Trust Accounting Tracker,Interactive Product Demo,Minimalism + Data-Dense,Calm navy + Success green + Alert red + Chart accents,Modern + Clear hierarchy,Balance transitions + Trust-account indicators,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_low_performance"": ""fallback-to-flat""}",Opaque trust accounting + Pure decorative backgrounds,HIGH
89,Attorney-Client Secure Messaging,Feature-Rich + Demo,Minimalism + Accessible & Ethical,Trust navy + Bubble contrast + Secure accent,Professional + Clean hierarchy,Encryption indicators + Smooth transitions,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Weak security cues + Excessive decoration,HIGH
90,Legal Notes / Case Memo App,Minimal & Direct,Minimalism + Flat Design,Clean white + Navy accent + Highlight colors,Professional + Clean hierarchy,Fast transitions + Distraction-free editor,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Excessive decoration + Complex shadows + 3D effects,HIGH
91,Deadline / Statute-of-Limitations Tracker,Social Proof + Demo,Data-Dense + Vibrant Block,Deadline amber/red + Safe green + Navy,Bold + Functional hierarchy,Countdown reveals + Deadline-status cues,"{""if_trust_needed"": ""add-testimonials""}",Missed-deadline blind spots + Low-contrast alerts,HIGH
92,Legal Intake / On-Demand Consult,Hero-Centric + Feature-Rich,Trust & Authority + Motion-Driven,Trust navy + Confident gold + Neutral,Professional + Bold + Clear,Intake-step reveals + Consultation CTA,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Overlong intake + Low clarity,HIGH
93,Attorney Ride-Along / Court Logistics,Conversion-Optimized + Demo,Minimalism + Glassmorphism,Navy + Map neutral + Status colors,Professional + Clean hierarchy,Route status + Translucent overlays,"{""if_low_performance"": ""fallback-to-flat"", ""if_conversion_focused"": ""add-urgency-colors""}",Excessive decoration + Poor status clarity,HIGH
