No,Data Type,Keywords,Best Chart Type,Secondary Options,When to Use,When NOT to Use,Data Volume Threshold,Color Guidance,Accessibility Grade,Accessibility Notes,A11y Fallback,Library Recommendation,Interactive Level
11,Fee Breakdown by Practice Area,"fee hierarchy, practice area, nested, treemap, matter type breakdown, drill",Treemap,"Sunburst, Nested Donut, Icicle","Showing size relationships within the firm's fee hierarchy; overview of proportional structure (e.g., revenue by practice area then matter type)",Hierarchy depth > 3 levels (too complex to read); user needs to compare sibling practice-area values precisely,<200 nodes: SVG; 200–1000: Canvas; >1000: paginate or pre-filter before rendering,Parent nodes: distinct hues. Children: lighter shades of same hue. White separator borders: 2–3px,C,Poor baseline accessibility. Always provide table alternative as primary view. Label all large areas.,Collapsible tree table as primary view; treemap as supplementary visual only,"D3.js, Recharts, ApexCharts",Hover + Drilldown
12,Lead Source to Practice Area Flow,"lead source, referral flow, sankey, intake distribution, source, target, transfer",Sankey Diagram,"Alluvial, Chord Diagram",Showing how intake volume flows between lead sources and practice areas or attorneys; multi-source multi-target referral distribution,Flow directions form loops (use network graph); fewer than 3 source-target pairs; mobile-primary context,<50 flows: SVG; ≥50: Canvas; >200 flows: aggregate minor flows into 'Other' node,Gradient from source to target color. Flow opacity: 0.4–0.6. Node labels always visible,C,Structural flow charts cannot be conveyed by color alone. Provide flow table. Avoid on mobile.,Flow table (Source → Target → Value); keyboard-traversable node list with tab stops,"D3.js (d3-sankey), Plotly",Hover + Drilldown
13,AR Aging / Collections Bridge,"accounts receivable, aging, waterfall, disbursements, variance, collections bridge, delta",Waterfall Chart,"Stacked Bar, Cascade","Showing how individual credits/debits add up to a final balance (e.g., WIP-to-collected bridge, trust disbursements, or AR aging variance)",Changes are not additive; more than 12 bars (readability breaks); audience expects a simple total,4–12 bars optimal; beyond 12 aggregate minor items into a single 'Other' bar,Increases: #4CAF50. Decreases: #F44336. Start total: #2196F3. End total: #0D47A1. Running total line: dashed,AA,Color + directional arrow icon per bar (not color alone). Labels on every bar.,Table with running total column; directional arrow icons per row,"ApexCharts, Highcharts, Plotly",Hover
14,Attorney Multi-Metric Comparison,"attorney scorecard, radar, spider, realization utilization originations, dimensions, comparison",Radar / Spider Chart,"Parallel Coordinates, Grouped Bar","Comparing attorneys across the same fixed set of metrics (e.g., realization, utilization, originations, collections, client satisfaction)",Metrics > 8 (unreadable); values need precise comparison (use grouped bar); audience unfamiliar with radar charts,2–3 datasets maximum per chart; 5–8 axes; beyond 8 axes switch to parallel coordinates,Single dataset: #0080FF at 20% fill. Multiple: distinct hues with 30% fill. Border: full opacity,B,Limit axes to 5–8. Always provide grouped bar chart alternative for precise reading.,Grouped bar chart as mandatory alternative; include raw data table,"Chart.js, Recharts, ApexCharts",Hover + Toggle
15,Settlement Offer Range (OHLC),"settlement negotiation, offer range, ohlc, open high low close, litigation finance, valuation",Candlestick Chart,"OHLC Bar, Heikin-Ashi","Financial-style time-series of negotiation rounds with Open/High/Low/Close offers, or daily case-valuation ranges; litigation finance context only",Non-financial audience; no OHLC/range data available (use line chart); accessibility-first context,Real-time: Canvas required. Historical: paginate by time range. Max 500 candles visible at once,Bullish: #26A69A. Bearish: #EF5350. Volume bars: 40% opacity below. Body fill vs hollow for OHLC style,B,"Provide OHLC data table. Colorblind: use fill vs outline pattern (bullish = filled, bearish = hollow).",OHLC data table with sortable columns; numeric summary panel (daily change %),"Lightweight Charts (TradingView), ApexCharts",Real-time + Hover + Zoom
16,Referral Network,"referral network, graph, nodes, edges, co-counsel connections, relationships, force",Network Graph,"Hierarchical Tree, Adjacency Matrix","Mapping referral relationships between clients, co-counsel, and referral sources; referral network topology exploration context",Node count > 500 without clustering pre-applied; user needs precise referral counts; mobile context,≤100 nodes: SVG; 101–500: Canvas; >500: must apply clustering/LOD before rendering,Node types: categorical colors. Edges: #90A4AE at 60% opacity. Highlight path: #F59E0B,D,Fundamentally inaccessible without alternative. Never use as sole representation. Always provide list alternative.,Adjacency list table (Node A → Node B → Weight); hierarchical tree view when structure allows,"D3.js (d3-force), Vis.js, Cytoscape.js",Drilldown + Hover + Drag
17,Verdict / Settlement Amount Distribution,"verdict amounts, settlement distribution, spread, median award, outlier, quartile, boxplot",Box Plot,"Violin Plot, Beeswarm","Showing spread, median, and outliers of settlement or verdict amounts; comparing award distributions across practice areas or venues",Fewer than 20 matters per group (distribution is not meaningful); audience unfamiliar with statistical charts,Any sample size; aggregated representation so rendering is ⚡ Excellent at any volume,Box fill: #BBDEFB. Border: #1976D2. Median line: #D32F2F bold. Outlier dots: #F44336,AA,Include stats summary table. Annotate outlier count in chart subtitle.,Stats summary table (min / Q1 / median / Q3 / max / mean); outlier count annotation,"Plotly, D3.js, Chart.js (plugin)",Hover
18,Realization / Utilization KPIs (Compact),"realization, utilization, bullet, compact, attorney kpi, dashboard, benchmark, range",Bullet Chart,"Gauge, Progress Bar","Dashboard with multiple attorney or practice-area KPIs (realization, utilization, collections) side by side; space-constrained contexts where a gauge is too large",Single KPI with emphasis (use gauge); metric has no defined target range; fewer than 3 KPIs,Ideal for 3–10 bullet charts in a grid; scales to any count efficiently,Qualitative ranges: #FFCDD2 / #FFF9C4 / #C8E6C9 (bad/ok/good). Performance bar: #1976D2. Target: black 3px marker,AAA,All values always visible as text. Color ranges are labeled with text thresholds not color alone.,Numerical values always visible (not hover-only); color ranges labeled with threshold text,"D3.js, Plotly, Custom SVG",Hover
19,E-Discovery Review Progress,"e-discovery, document review, waffle, percentage, completion, filled, grid",Waffle Chart,"Pictogram, Stacked Bar 100%",Showing what fraction of a document review set is complete; e-discovery or contract-review progress in a visually engaging and accessible format,More than 5 review categories (use stacked bar); exact document counts matter over visual proportion; very tight space,10×10 grid standard (100 cells); for > 5 categories switch to stacked 100% bar,3–5 categories max. 2–3px gap between cells. Each category a distinct accessible color pair,AA,Better than pie for accessibility. Percentage text label always visible. Each cell has aria-label.,Percentage text always visible; grid cells labeled with aria-label value; provide legend,"D3.js, React-Waffle, Custom CSS Grid",Hover
20,Firm Revenue by Department (Hierarchical),"revenue breakdown, sunburst, department, practice area, nested, radial, proportion",Sunburst Chart,"Treemap, Icicle, Circle Packing","Exploring nested revenue proportions where both hierarchy and relative size matter (e.g., department -> practice area -> matter type spend)",More than 3 hierarchy levels (outer rings become unreadable); precision matters over overview; mobile,<100 nodes: SVG; 100–500: Canvas; >500: filter to top N before rendering,Center to outer: darker to lighter hue. Each level 15–20% lighter. Contrasting border between sectors,C,Poor accessibility beyond 2 levels. Mandatory table alternative required for any production use.,Collapsible indented list with percentages; breadcrumb trail for current drill-down state,"D3.js (d3-hierarchy), Recharts, ApexCharts",Drilldown + Hover
21,Declining Realization Root Cause,"root cause, realization decline, decomposition, tree, drill-down, write-off attribution",Decomposition Tree,"Decision Tree, Flow Chart","Decomposing a firm metric (e.g., falling realization or collections) into contributing factors; BI drill-down or AI-assisted practice analysis",No clear parent-child causal relationship; audience expects a summary rather than exploration,Up to 5 levels deep; limit visible nodes to 20 per level for readability; lazy-load deeper levels,Positive impact nodes: #2563EB. Negative impact nodes: #EF4444. Neutral connectors: #94A3B8,AA,Keyboard-navigable expand/collapse. Screen reader announces node value and % contribution.,Keyboard expand/collapse tree; screen reader announces node label + value + % impact,"Power BI (native), React-Flow, Custom D3.js",Drill + Expand
22,3D Evidence / Scene Reconstruction,"3d, evidence, accident reconstruction, spatial, litigation exhibit, volumetric, point-cloud",3D Scatter / Surface Plot,"Volumetric Rendering, Point Cloud","Litigation-support context where a Z-axis carries essential info (e.g., accident-scene or forensic reconstruction exhibits) not expressible in 2D",2D projection conveys the same insight; mobile context; accessibility-required environments; standard practice dashboards,"WebGL required. Deck.gl: up to 1M points. Three.js: LOD required beyond 50,000 pts",Depth cues: lighting and shading. Z-axis: color gradient (cool → warm). Transparent overlapping: opacity 0.4,D,3D spatial charts are fundamentally inaccessible. Must not be used as primary chart type in any product UI.,Mandatory 2D projection view + data table; do not use as primary chart type in product UI,"Three.js, Deck.gl, Plotly 3D",Rotate + Zoom + VR
23,Live Docket / Review Rate Monitoring,"streaming, real-time, docket, live filings, review rate, pulse, monitoring",Streaming Area Chart,"Ticker Tape, Moving Gauge",Live litigation-ops dashboards; docket-alert or e-discovery review-rate data updating at >=1 Hz; user needs the current value at a glance,Update frequency < 1/min (use periodic-refresh line chart); flashing content without reduced-motion support,Canvas/WebGL required. Buffer last 60–300s of data. Downsample older data on scroll,Current pulse: #00FF00 (dark theme) or #0080FF (light theme). History: fading opacity. Grid: dark background,B,Pause/resume control required. Current value as large visible text KPI. Respect prefers-reduced-motion.,Pause/resume button required; current value shown as large text KPI; prefers-reduced-motion: freeze animation,"Smoothed D3.js, CanvasJS",Real-time + Pause + Zoom
24,Deposition / Clause Sentiment,"sentiment, deposition, contract clause, nlp, opinion, tone, text-analysis",Word Cloud with Sentiment,"Sentiment Arc, Radar Chart","NLP output on legal text (deposition transcripts, contract clauses, client reviews); frequency-weighted keyword overview of a legal corpus",Precise values matter (word size is inherently imprecise); screen-reader context; corpus < 50 items,50–5000 terms optimal. Beyond 5000: apply top-N filtering before render. Avoid on mobile,Positive: #22C55E. Negative: #EF4444. Neutral: #94A3B8. Word size maps to frequency,C,Word clouds fail screen readers. Never use as sole output of NLP analysis. Always pair with list view.,Sortable list view by frequency with sentiment label column; word cloud as supplementary only,"D3-cloud, Highcharts, Nivo",Hover + Filter
25,Matter Lifecycle Process Mining,"process mining, matter lifecycle, variants, workflow path, bottleneck, event log, deviation",Process Map / Graph,"Directed Acyclic Graph (DAG), Petri Net",Analyzing matter or intake event logs to visualize actual case workflows; identifying bottlenecks and deviations in the matter lifecycle,No event log data available; audience expects a static flowchart (use diagram tool); node count > 100 without pre-filtering,<30 nodes: SVG; 30–100: Canvas; >100: apply variant filtering (top 80% of cases) before rendering,Happy path: #10B981 thick line. Deviations: #F59E0B thin line. Bottleneck nodes: #EF4444 fill,B,Complex graphs are hard to navigate. Provide path summary text. Highlight top 3 bottlenecks as annotations.,Path summary table (variant → frequency → avg duration); top 3 bottlenecks as text annotation panel,"React-Flow, Cytoscape.js, Recharts",Drag + Node-Click
