No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
15,Server,After Non-blocking,after non-blocking logging,React/Next.js,Use Next.js after() to log an audit trail after the response is sent,Use after() for logging/analytics,Block response for non-critical operations,after(async () => { await logAudit() }); return Response.json(data),await logAudit(); return Response.json(data),Medium
16,Client,SWR Deduplication,swr dedup cache revalidate,React/Next.js,Use SWR for automatic request dedup and caching of the matter list,Use useSWR for client data fetching,Manual fetch in useEffect,"const { data } = useSWR('/api/matters', fetcher)","useEffect(() => { fetch('/api/matters').then(setMatters) }, [])",Medium-High
17,Client,Event Listener Dedup,event listener deduplicate global,React/Next.js,Share global event listeners across document-review component instances,Use useSWRSubscription for shared listeners,Register listener per component instance,"useSWRSubscription('global-keydown', () => { window.addEventListener... })","useEffect(() => { window.addEventListener('keydown', handler) }, [])",Low
18,Rerender,Defer State Reads,state read callback subscription,React/Next.js,Don't subscribe to search params only used in a case-filter callback,Read state on-demand in callbacks,Subscribe to state used only in handlers,const handleFilter = () => { const params = new URLSearchParams(location.search) },const params = useSearchParams(); const handleFilter = () => { params.get('practiceArea') },Medium
19,Rerender,Memoized Components,memo extract expensive,React/Next.js,Extract expensive attorney-avatar work into memoized components for early returns,Extract to memo() components,Compute expensive values before early return,const AttorneyAvatar = memo(({ attorney }) => ...); if (loading) return <Skeleton />,const avatar = useMemo(() => compute(attorney)); if (loading) return <Skeleton />,Medium
20,Rerender,Narrow Dependencies,effect dependency primitive,React/Next.js,Specify primitive dependencies instead of the whole client object in effects,Use primitive values in dependency arrays,Use object references as dependencies,"useEffect(() => { console.log(client.id) }, [client.id])","useEffect(() => { console.log(client.id) }, [client])",Low
21,Rerender,Derived State,derived boolean subscription,React/Next.js,Subscribe to a derived boolean instead of continuous width in the responsive case view,Use derived boolean state,Subscribe to continuous values,const isMobile = useMediaQuery('(max-width: 767px)'),const width = useWindowWidth(); const isMobile = width < 768,Medium
22,Rerender,Functional setState,functional setstate callback,React/Next.js,Use functional setState when appending documents to a matter for stable callbacks,Use functional form: setState(curr => ...),Reference state directly in setState,"setDocuments(curr => [...curr, newDoc])","setDocuments([...documents, newDoc]) // documents in deps",Medium
23,Rerender,Lazy State Init,usestate lazy initialization,React/Next.js,Pass a function to useState for an expensive legal-research index,Use function form for expensive init,Compute expensive value directly,useState(() => buildSearchIndex(cases)),useState(buildSearchIndex(cases)) // runs every render,Medium
24,Rerender,Transitions,starttransition non-urgent,React/Next.js,Mark frequent non-urgent updates on a long document scroll as transitions,Use startTransition for non-urgent updates,Block UI on every state change,startTransition(() => setScrollY(window.scrollY)),setScrollY(window.scrollY) // blocks on every scroll,Medium
25,Rendering,SVG Animation Wrapper,svg animation wrapper div,React/Next.js,Wrap the firm-logo SVG in a div and animate the wrapper for hardware acceleration,Animate div wrapper around SVG,Animate SVG element directly,<div class='animate-spin'><svg>...</svg></div>,<svg class='animate-spin'>...</svg>,Low
26,Rendering,Content Visibility,content-visibility auto,React/Next.js,Apply content-visibility: auto to defer off-screen e-discovery rows,Use content-visibility for long lists,Render all list items immediately,.doc-row { content-visibility: auto; contain-intrinsic-size: 0 80px },Render 1000 documents without optimization,High
27,Rendering,Hoist Static JSX,hoist static jsx element,React/Next.js,Extract the static case-card skeleton outside components to avoid re-creation,Hoist static elements to module scope,Create static elements inside components,const skeleton = <div class='animate-pulse' />; function C() { return skeleton },function C() { return <div class='animate-pulse' /> },Low
28,Rendering,Hydration No Flicker,hydration mismatch flicker,React/Next.js,Use an inline script to set the client's saved portal theme before hydration,Inject sync script for client-only values,Use useEffect causing flash,<script dangerouslySetInnerHTML={{ __html: 'el.className = localStorage.theme' }} />,"useEffect(() => setTheme(localStorage.theme), []) // flickers",Medium
29,Rendering,Conditional Render,conditional render ternary,React/Next.js,Use a ternary instead of && when an unread-message count can be 0,Use explicit ternary for conditionals,Use && with potentially falsy numbers,{unread > 0 ? <Badge>{unread}</Badge> : null},{unread && <Badge>{unread}</Badge>} // renders '0',Low
30,Rendering,Activity Component,activity show hide preserve,React/Next.js,Use Activity to preserve the case-filters panel state when toggled,Use Activity for expensive toggle components,Unmount/remount on visibility toggle,<Activity mode={isOpen ? 'visible' : 'hidden'}><Filters /></Activity>,{isOpen && <Filters />} // loses state,Medium
31,JS Perf,Batch DOM CSS,batch dom css reflow,React/Next.js,Group CSS changes when highlighting a matched e-discovery term to minimize reflows,Use class toggle or cssText,Change styles one property at a time,element.classList.add('highlighted'),el.style.width='100px'; el.style.height='200px',Medium
32,JS Perf,Index Map Lookup,map index lookup find,React/Next.js,Build a Map for repeated client lookups instead of multiple .find() calls,Build index Map for O(1) lookups,Use .find() in loops,"const byId = new Map(clients.map(c => [c.id, c])); byId.get(id)",clients.find(c => c.id === matter.clientId) // O(n) each time,Low-Medium
33,JS Perf,Cache Property Access,cache property loop,React/Next.js,Cache nested config lookups in hot billing-calculation paths,Cache values before loops,Access nested properties in loops,const rate = firm.config.billing.hourlyRate; for (...) process(rate),for (...) process(firm.config.billing.hourlyRate),Low-Medium
34,JS Perf,Cache Function Results,memoize cache function,React/Next.js,Use a module-level Map to cache repeated matter-slug generation,Use Map cache for repeated calls,Recompute same values repeatedly,const cache = new Map(); if (cache.has(x)) return cache.get(x),slugify(matterName) // called 100 times same input,Medium
35,JS Perf,Cache Storage API,localstorage cache read,React/Next.js,Cache localStorage reads of the portal theme in memory,Cache storage reads in Map,Read storage on every call,"if (!cache.has(key)) cache.set(key, localStorage.getItem(key))",localStorage.getItem('theme') // every call,Low-Medium
36,JS Perf,Combine Iterations,combine filter map loop,React/Next.js,Combine multiple filter/map passes when categorizing matters into one loop,Single loop for multiple categorizations,Chain multiple filter() calls,for (m of matters) { if (m.isOpen) open.push(m); if (m.isOverdue) overdue.push(m) },matters.filter(open); matters.filter(overdue); matters.filter(closed),Low-Medium
37,JS Perf,Length Check First,length check array compare,React/Next.js,Check array lengths before expensively comparing two document sets,Early return if lengths differ,Always run expensive comparison,if (a.length !== b.length) return true; // then compare,a.sort().join() !== b.sort().join() // even when lengths differ,Medium-High
38,JS Perf,Early Return,early return exit function,React/Next.js,Return early on the first invalid field when validating a client intake,Return immediately on first error,Process all items then check errors,for (c of clients) { if (!c.email) return { error: 'Email required' } },let hasError; for (...) { if (!email) hasError=true }; if (hasError)...,Low-Medium
39,JS Perf,Hoist RegExp,regexp hoist module,React/Next.js,Don't create the case-number RegExp inside render - hoist or memoize,Hoist RegExp to module scope,Create RegExp every render,const CASE_NO_RE = /^\d{2}-CV-\d{5}$/; function validate() { CASE_NO_RE.test(x) },function C() { const re = new RegExp(pattern); re.test(x) },Low-Medium
40,JS Perf,Loop Min Max,loop min max sort,React/Next.js,Use a loop to find the earliest filing deadline instead of sort - O(n) vs O(n log n),Single pass loop for min/max,Sort array to find min/max,let earliest = dates[0]; for (d of dates) if (d < earliest) earliest = d,"dates.sort((a,b) => a-b)[0] // O(n log n)",Low
41,JS Perf,Set Map Lookups,set map includes has,React/Next.js,Use a Set for O(1) checks of allowed practice-area codes instead of includes(),Convert to Set for membership checks,Use .includes() for repeated checks,"const allowed = new Set(['PI','FAM']); allowed.has(code)","const allowed = ['PI','FAM']; allowed.includes(code)",Low-Medium
42,JS Perf,toSorted Immutable,tosorted sort immutable,React/Next.js,Use toSorted() to order the attorney directory without mutating the source array,Use toSorted() for immutability,Mutate arrays with sort(),"attorneys.toSorted((a,b) => a.name.localeCompare(b.name))","attorneys.sort((a,b) => a.name.localeCompare(b.name)) // mutates",Medium-High
43,Advanced,Event Handler Refs,useeffectevent ref handler,React/Next.js,Store the case-update callback in a ref for a stable websocket subscription,Use useEffectEvent for stable handlers,Re-subscribe on every callback change,"const onUpdate = useEffectEvent(handler); useEffect(() => { listen(onUpdate) }, [])","useEffect(() => { listen(handler) }, [handler]) // re-subscribes",Low
44,Advanced,useLatest Hook,uselatest ref callback,React/Next.js,Access the latest intake callback without adding it to dependency arrays,Use useLatest for fresh values in stable callbacks,Add callback to effect dependencies,"const cbRef = useLatest(cb); useEffect(() => { setTimeout(() => cbRef.current()) }, [])","useEffect(() => { setTimeout(() => cb()) }, [cb]) // re-runs",Low
