No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
17,Korean Modern,Sans + Sans,Noto Sans KR,Noto Sans KR,"multilingual, korean, professional, readable, immigration, legal","Korean-language legal services, immigration practices, multilingual firm sites",https://fonts.google.com/share?selection.family=Noto+Sans+KR:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+KR:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans KR', 'sans-serif'] }",Clean Korean typography. Single font with weight variations.
18,Chinese Traditional,Serif + Sans,Noto Serif TC,Noto Sans TC,"multilingual, chinese, traditional, readable, immigration, legal","Traditional-Chinese legal & immigration services (Taiwan/Hong Kong clients), multilingual firms",https://fonts.google.com/share?selection.family=Noto+Sans+TC:wght@300;400;500;700|Noto+Serif+TC:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+TC:wght@300;400;500;700&family=Noto+Serif+TC:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Noto Serif TC', 'serif'], sans: ['Noto Sans TC', 'sans-serif'] }",Traditional Chinese character support. Elegant pairing.
19,Chinese Simplified,Sans + Sans,Noto Sans SC,Noto Sans SC,"multilingual, chinese, simplified, professional, immigration, legal","Simplified-Chinese legal & immigration services (mainland clients), cross-border business law",https://fonts.google.com/share?selection.family=Noto+Sans+SC:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+SC:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans SC', 'sans-serif'] }",Simplified Chinese support. Clean modern look.
20,Arabic Elegant,Serif + Sans,Noto Naskh Arabic,Noto Sans Arabic,"multilingual, arabic, rtl, readable, immigration, legal","Arabic-language legal services, RTL immigration & legal-aid sites, Middle-East corporate law",https://fonts.google.com/share?selection.family=Noto+Naskh+Arabic:wght@400;500;600;700|Noto+Sans+Arabic:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Naskh+Arabic:wght@400;500;600;700&family=Noto+Sans+Arabic:wght@300;400;500;700&display=swap');,"fontFamily: { serif: ['Noto Naskh Arabic', 'serif'], sans: ['Noto Sans Arabic', 'sans-serif'] }","RTL support. Naskh for traditional, Sans for modern Arabic."
21,Thai Modern,Sans + Sans,Noto Sans Thai,Noto Sans Thai,"multilingual, thai, readable, accessible, immigration, legal","Thai-language legal & immigration services, multilingual firm sites",https://fonts.google.com/share?selection.family=Noto+Sans+Thai:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+Thai:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans Thai', 'sans-serif'] }",Clean Thai typography. Excellent readability.
22,Hebrew Modern,Sans + Sans,Noto Sans Hebrew,Noto Sans Hebrew,"multilingual, hebrew, rtl, professional, immigration, legal","Hebrew-language legal services, RTL legal sites, bilingual firm pages",https://fonts.google.com/share?selection.family=Noto+Sans+Hebrew:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+Hebrew:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans Hebrew', 'sans-serif'] }",RTL support. Clean modern Hebrew typography.
23,Legal Professional,Serif + Sans,EB Garamond,Lato,"legal, professional, traditional, trustworthy, formal, authoritative","Law firms of every practice area, contracts & formal legal documents, court & government legal",https://fonts.google.com/share?selection.family=EB+Garamond:wght@400;500;600;700|Lato:wght@300;400;700,@import url('https://fonts.googleapis.com/css2?family=EB+Garamond:wght@400;500;600;700&family=Lato:wght@300;400;700&display=swap');,"fontFamily: { serif: ['EB Garamond', 'serif'], sans: ['Lato', 'sans-serif'] }",EB Garamond for authority. Lato for clean body text.
24,Medical Clean,Sans + Sans,Figtree,Noto Sans,"clean, accessible, professional, trustworthy, precise, legal","Medical-malpractice & healthcare-law firms, accessible legal-aid, HIPAA-aware legal-tech",https://fonts.google.com/share?selection.family=Figtree:wght@300;400;500;600;700|Noto+Sans:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Figtree:wght@300;400;500;600;700&family=Noto+Sans:wght@300;400;500;700&display=swap');,"fontFamily: { heading: ['Figtree', 'sans-serif'], body: ['Noto Sans', 'sans-serif'] }","Clean, accessible fonts for medical contexts."
25,Financial Trust,Sans + Sans,IBM Plex Sans,IBM Plex Sans,"trustworthy, professional, precise, data, serious, legal","Legal billing & trust-accounting tools, tax & fintech-law firms, compliance platforms, insurance defense",https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['IBM Plex Sans', 'sans-serif'] }",IBM Plex conveys trust and professionalism. Excellent for data.
26,Real Estate Luxury,Serif + Sans,Cinzel,Josefin Sans,"prestige, engraved, elegant, formal, authoritative, legal","Real-estate & title law, prestige firm hero accents, private-client & estate practices",https://fonts.google.com/share?selection.family=Cinzel:wght@400;500;600;700|Josefin+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Cinzel:wght@400;500;600;700&family=Josefin+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Cinzel', 'serif'], sans: ['Josefin Sans', 'sans-serif'] }",Cinzel's elegance for headlines. Josefin for modern body.
27,Magazine Style,Serif + Sans,Libre Bodoni,Public Sans,"editorial, refined, publishing, authoritative, analytical, legal","Legal publications & firm magazines, thought-leadership hubs, long-form legal analysis",https://fonts.google.com/share?selection.family=Libre+Bodoni:wght@400;500;600;700|Public+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Libre+Bodoni:wght@400;500;600;700&family=Public+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Libre Bodoni', 'serif'], sans: ['Public Sans', 'sans-serif'] }",Bodoni's editorial elegance. Public Sans for clean UI.
28,Academic/Research,Serif + Sans,Crimson Pro,Atkinson Hyperlegible,"scholarly, accessible, readable, academic, precise, legal","Law schools, bar-exam prep, CLE & legal-research platforms, scholarly legal content",https://fonts.google.com/share?selection.family=Atkinson+Hyperlegible:wght@400;700|Crimson+Pro:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;700&family=Crimson+Pro:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Crimson Pro', 'serif'], sans: ['Atkinson Hyperlegible', 'sans-serif'] }",Crimson for scholarly headlines. Atkinson for accessibility.
29,Dashboard Data,Mono + Sans,Fira Code,Fira Sans,"data, analytics, technical, precise, dashboard, legal-tech","Legal analytics dashboards, e-discovery review, billing & matter data, case-management reporting",https://fonts.google.com/share?selection.family=Fira+Code:wght@400;500;600;700|Fira+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fira+Code:wght@400;500;600;700&family=Fira+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { mono: ['Fira Code', 'monospace'], sans: ['Fira Sans', 'sans-serif'] }","Fira family cohesion. Code for data, Sans for labels."
30,Minimalist Portfolio,Sans + Sans,Archivo,Space Grotesk,"minimal, distinctive, modern, clean, professional, boutique","Solo-attorney & boutique-firm portfolios, modern legal personal brands",https://fonts.google.com/share?selection.family=Archivo:wght@300;400;500;600;700|Space+Grotesk:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;500;600;700&family=Space+Grotesk:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['Archivo', 'sans-serif'] }",Space Grotesk for distinctive headers. Archivo for clean body.
31,Accessibility First,Sans + Sans,Atkinson Hyperlegible,Atkinson Hyperlegible,"accessible, legible, inclusive, wcag, clear, legal","Legal aid & pro bono, government & public-defender sites, elder-law and immigration — WCAG-critical",https://fonts.google.com/share?selection.family=Atkinson+Hyperlegible:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;700&display=swap');,"fontFamily: { sans: ['Atkinson Hyperlegible', 'sans-serif'] }",Designed for maximum legibility. Excellent for accessibility.
32,Luxury Minimalist,Serif + Sans,Bodoni Moda,Jost,"luxury, minimal, refined, sophisticated, premium, private-client","High-end private-client, estate and M&A boutiques, prestige firm brands",https://fonts.google.com/share?selection.family=Bodoni+Moda:wght@400;500;600;700|Jost:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bodoni+Moda:wght@400;500;600;700&family=Jost:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Bodoni Moda', 'serif'], sans: ['Jost', 'sans-serif'] }",Bodoni's high contrast elegance. Jost for geometric body.
33,Academic/Archival,Serif + Serif,EB Garamond,Crimson Text,"scholarly, traditional, serious, academic, formal, legal","Law schools & legal archives, appellate-brief aesthetics, legal-history and scholarly content",https://fonts.google.com/share?selection.family=Crimson+Text:wght@400;600;700|EB+Garamond:wght@400;500;600;700;800,@import url('https://fonts.googleapis.com/css2?family=Crimson+Text:wght@400;600;700&family=EB+Garamond:wght@400;500;600;700;800&display=swap');,"fontFamily: { classic: ['EB Garamond', 'serif'], text: ['Crimson Text', 'serif'] }",Classic academic aesthetic. Very legible.
34,Minimalist Monochrome Editorial,Serif + Serif + Mono (Triple Stack),Playfair Display,Source Serif 4,"editorial, austere, high-contrast, typographic, manifesto, boutique","Boutique-firm editorial/manifesto pages, appellate & IP thought leadership, high-contrast legal brands","https://fonts.google.com/share?selection.family=JetBrains+Mono:wght@400;500|Playfair+Display:ital,wght@0,400;0,700;0,900;1,400|Source+Serif+4:ital,wght@0,300;0,400;0,600;1,300","@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500&family=Playfair+Display:ital,wght@0,400;0,700;0,900;1,400&family=Source+Serif+4:ital,wght@0,300;0,400;0,600;1,300&display=swap');","fontFamily: { display: ['Playfair Display', 'serif'], body: ['Source Serif 4', 'serif'], mono: ['JetBrains Mono', 'monospace'] }",Triple stack: Playfair Display 900 tracking-tighter leading-[0.9] for heroes (text-5xl–text-6xl breaks words graphically). Source Serif 4 300–600 for body legibility. JetBrains Mono 400–500 uppercase tracking-widest for tags/dates/labels. NO UI sans-serif — 100% serif/mono.
35,Modern Dark Cinema (Inter System),Sans + Mono,Inter,Inter,"dark, precise, premium, technical, professional, legal-tech","Legal AI dashboards, e-discovery & legal-research dark mode, fintech-law and high-end legal-tech",https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }","Single-family precision system: Inter 700 (-1.5 tracking) for Display 48pt; Inter 600 (-0.5 tracking) for H1 32pt / H2 24pt; Inter 400 for body 16pt; Inter 500 uppercase +1.2 tracking for labels/mono. Gradient text via mask-view + react-native-linear-gradient (#FFFFFF → rgba(255,255,255,0.7)) on major headers."
36,SaaS Mobile Boutique (Calistoga + Inter),Display Serif + Sans + Mono,Calistoga,Inter,"saas, boutique, warm, editorial, premium, legal-tech","Legal-tech mobile apps, boutique legal-SaaS marketing, analytics & billing dashboards",https://fonts.google.com/share?selection.family=Calistoga:ital@0;1|Inter:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500,@import url('https://fonts.googleapis.com/css2?family=Calistoga:ital@0;1&family=Inter:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap');,"fontFamily: { display: ['Calistoga', 'serif'], body: ['Inter', 'sans-serif'], mono: ['JetBrains Mono', 'monospace'] }","Tri-stack: Calistoga (adds human warmth) for heroes 36–42pt leading-1.1; Inter 400–600 for body/UI 16–18pt; JetBrains Mono 12pt uppercase tracking-[1.5] for data labels and section badges. Scale: Hero 36–42pt, Section H2 28–32pt, Body 16–18pt, Label 12pt. Avoid italic Calistoga except editorial callouts."
37,Flat Design Mobile (System Bold),Sans + Sans,Inter,Inter,"flat, clean, system, functional, cross-platform, legal-tech","Legal-tech mobile apps, client-portal onboarding, informational legal apps, dashboards",https://fonts.google.com/share?selection.family=Inter:wght@400;600;700;800,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700;800&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }","System-first strategy: Inter as primary, falls back to system SF/Roboto on iOS/Android. Scale: Headlines fontWeight 800 letterSpacing -0.5; Subheadings fontWeight 600 fontSize 18; Body fontWeight 400 lineHeight 24; Labels fontWeight 700 uppercase letterSpacing 1. Thick weights carry all hierarchy since there are no shadows. Use aggressive size contrast (poster rule: body 16pt vs headline 40pt+). Avoid italic."
38,Material You MD3 (Roboto System),Sans (System Default),Roboto,Roboto,"material, accessible, adaptive, professional, android, legal-tech","Android legal-tech apps, productivity & B2B legal dashboards, enterprise legal mobile","https://fonts.google.com/share?selection.family=Roboto:ital,wght@0,300;0,400;0,500;0,700;1,400","@import url('https://fonts.googleapis.com/css2?family=Roboto:ital,wght@0,300;0,400;0,500;0,700;1,400&display=swap');","fontFamily: { sans: ['Roboto', 'sans-serif'] }",MD3 type scale: Display Large 56px/400/64px. Headline Large 32px/500/40px. Title Large 22px/500/28px. Body Large 16px/400/24px. Label Medium 12px/500/16px. Buttons and Labels: letterSpacing 0.1px. Use system Roboto on Android; load from Google Fonts for iOS parity. Never use custom weights beyond 300–700.
39,Bold Typography Mobile (Inter-Tight Poster),Sans + Serif (Display) + Mono,Inter,Playfair Display,"bold, editorial, poster, high-contrast, campaign, injury","Personal-injury brand flagships, legal campaign & flash pages, event apps (type-as-hero, use sparingly)","https://fonts.google.com/share?selection.family=Inter:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400|JetBrains+Mono:wght@400|Playfair+Display:ital@1","@import url('https://fonts.googleapis.com/css2?family=Inter:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400&family=JetBrains+Mono:wght@400&family=Playfair+Display:ital@1&display=swap');","fontFamily: { display: ['Inter', 'sans-serif'], quote: ['Playfair Display', 'serif'], mono: ['JetBrains Mono', 'monospace'] }","Tri-stack: Inter 600–800 for all UI (letterSpacing -1.5px heroes, -0.5px subheads). Playfair Display Italic ONLY for pull quotes. JetBrains Mono for labels and stats. Scale: 12px labels, 16px body, 22px sub, 32px section, 40px H2, 56px H1, 72px Hero Statement. 5:1 ratio H1:Body is mandatory. lineHeight 1.1 headlines, 1.6 body. Underlines (2–3pt accent) replace buttons for interactions."
40,Academia Mobile (Cormorant + Crimson + Cinzel),Serif + Book Serif + Engraved (Triple Stack),Cormorant Garamond,Crimson Pro,"scholarly, prestige, antique, serif, reading, legal","Law-school & scholarly legal reading apps, legal knowledge bases, prestige firm reading experiences","https://fonts.google.com/share?selection.family=Cinzel:wght@400;500;600|Cormorant+Garamond:ital,wght@0,300;0,500;0,700;1,300;1,500|Crimson+Pro:ital,wght@0,300;0,400;0,600;1,300;1,400","@import url('https://fonts.googleapis.com/css2?family=Cinzel:wght@400;500;600&family=Cormorant+Garamond:ital,wght@0,300;0,500;0,700;1,300;1,500&family=Crimson+Pro:ital,wght@0,300;0,400;0,600;1,300;1,400&display=swap');","fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Crimson Pro', 'serif'], display: ['Cinzel', 'serif'] }","Triple-stack: Cormorant Garamond Medium for all headings (32–40px tight leading). Crimson Pro Regular for body reading text (16–18px, lineHeight 24–26px). Cinzel SemiBold for ALL-CAPS labels, overlines, section prefixes (10–12px, letterSpacing 2–3px). Drop caps: first letter 60px Cinzel in Brass #C9A962. Section prefix: VOLUME I/II/III in Cinzel 10px. NO sans-serif anywhere."
41,Enterprise SaaS Mobile (Plus Jakarta Sans),Geometric Sans (Single Family),Plus Jakarta Sans,Plus Jakarta Sans,"enterprise, saas, professional, legible, b2b, legal-tech","B2B legal-tech apps, practice-management & client portals, government/finance-law mobile, admin dashboards","https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:ital,wght@0,400;0,600;0,700;0,800;1,400","@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:ital,wght@0,400;0,600;0,700;0,800;1,400&display=swap');","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }","Single-family system: Plus Jakarta Sans balances professional authority with mobile approachability. Weight scale: ExtraBold 800 for screen titles/hero (line height 1.1–1.2). Bold 700 for section headers. SemiBold 600 for card titles and buttons. Regular 400 for body text (line height 1.4–1.5). Must support iOS Dynamic Type and Android font scaling — never hardcode pixel sizes without respecting system font scale. Button text: uppercase, letterSpacing 0.5. Caption: 12px Regular. Muted: Slate 500 #64748B."
42,Neumorphism Mobile (Plus Jakarta Sans + System),Geometric Sans (System Fallback),Plus Jakarta Sans,Plus Jakarta Sans,"soft ui, minimal, premium, utility, monochrome, legal-tech","Minimal legal-tech utilities, client-portal dashboards, brand showcase pages","https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:ital,wght@0,400;0,500;0,700;1,400","@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:ital,wght@0,400;0,500;0,700;1,400&display=swap');","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }","Single-family or System fallback: Plus Jakarta Sans Bold/Medium pairs beautifully with the monochromatic #E0E5EC surface — subtle geometry without competing with the depth effect. Heading: 24–32px Bold (700), letterSpacing -0.5 for modern premium feel. Body: 16px Medium (500), lineHeight 1.4. Caption: 12px Regular (400). Use Text Primary #3D4852 (7.5:1 contrast against #E0E5EC) for all primary text. Use Text Muted #6B7280 (4.6:1 contrast) for secondary text. Accent color #6C63FF only on active labels or focus indicators. Never use italic or thin weights — they lose legibility against the embossed background. System (SF Pro / Roboto) is an acceptable fallback for performance-sensitive implementations."
