No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
39,Alpine-Forms,Use x-model modifiers,Apply appropriate modifiers to x-model,Use .lazy .number .trim modifiers as needed,Manually parse or validate input values,<input x-model.number="age" type="number">,<input x-model="age" type="number"> then parseInt(age),Low,https://alpinejs.dev/directives/x-model#modifiers
40,Alpine-Forms,Validate forms reactively,Provide real-time form validation feedback,Validate as user types with reactive expressions,Validate only on submit,<input x-model="email" :class="{ 'error': !isValidEmail(email) }">,<form onsubmit="validateAll()">Form</form>,Medium,
41,Axum-Core,Use typed extractors,Extract request data with Axum's type-safe extractors,Use Json Path Query Form extractors,Manual request parsing,async fn handler(Json(data): Json<User>) -> Json<User>,async fn handler(req: Request) -> Response,High,https://docs.rs/axum/latest/axum/extract/
42,Axum-Core,Return proper response types,Use Axum's response types for type safety,Return Html Json StatusCode or custom responses,Return untyped responses,Ok(Html("<h1>Hello</h1>")),Ok("Hello".to_string()),Medium,https://docs.rs/axum/latest/axum/response/
43,Axum-Core,Handle errors with proper types,Use Result types and error handling,Return Result from handlers with proper error types,Unwrap or panic in handlers,Result<Html<String> AppError>,handler().unwrap(),High,https://docs.rs/axum/latest/axum/response/trait.IntoResponse.html
44,Axum-State,Use app state for shared data,Share application state via Axum's state system,Pass database connections config via State extractor,Use global variables for shared state,async fn handler(State(db): State<Database>),static mut DB: Option<Database> = None,High,https://docs.rs/axum/latest/axum/extract/struct.State.html
45,Axum-State,Implement Clone for state,Make state types cloneable for efficient sharing,Wrap expensive-to-clone types in Arc,Clone expensive resources on every request,#[derive(Clone)] struct AppState { db: Arc<Database> },struct AppState { db: Database },Medium,
46,Axum-Routing,Use nested routers,Organize routes with Router::nest,Group related routes under common prefixes,Define all routes in one large router,Router::new().nest("/api/v1" api_routes),Router with 100+ individual routes,Medium,https://docs.rs/axum/latest/axum/struct.Router.html#method.nest
47,Axum-Routing,Apply middleware selectively,Use route-specific middleware when appropriate,Apply middleware only where needed,Apply all middleware globally,.route_layer(auth_middleware),.layer(auth_middleware) on all routes,Medium,https://docs.rs/axum/latest/axum/middleware/
48,Axum-Security,Validate input data,Always validate incoming request data,Use serde validation or custom validation,Trust client data without validation,#[derive(Deserialize Validate)] struct User,Accept any JSON without validation,High,
49,Axum-Security,Use CSRF protection middleware,Protect against CSRF attacks,Add CSRF middleware for state-changing operations,No CSRF protection on forms,.layer(CsrfLayer::new()),No CSRF middleware,High,
50,Axum-Security,Sanitize HTML output,Prevent XSS by escaping HTML content,Use templating engines with auto-escaping,Output user content without escaping,{{ user.name }} in templates,format!("<p>{}</p>" user.input),High,
51,Axum-Templates,Use templating engines,Render HTML with proper templating,Use Askama Tera or Handlebars for HTML rendering,String concatenation for HTML,#[derive(Template)] struct Page {},format!("<html><body>{}</body></html>" content),High,https://github.com/djc/askama
52,Axum-Templates,Separate templates from logic,Keep templates in separate files,Use template files not inline strings,Embed HTML in Rust code,#[template(path = "user.html")],let html = "<html>...</html>",Medium,
53,Axum-Performance,Use connection pooling,Pool database connections efficiently,Use sqlx::Pool or similar for DB connections,Create new DB connection per request,State(Arc<PgPool>),State(Database::connect().await),High,https://docs.rs/sqlx/latest/sqlx/pool/
54,Axum-Performance,Stream large responses,Stream data for large responses,Use axum::body::Body::from_stream for large data,Load all data into memory before responding,Body::from_stream(data_stream),let all_data: Vec<_> = query.collect().await,Medium,
55,Axum-Performance,Use compression middleware,Compress responses to reduce bandwidth,Add CompressionLayer for response compression,Send uncompressed responses,.layer(CompressionLayer::new()),No compression middleware,Medium,
56,Integration,Coordinate HTMX with Alpine,Use HTMX for server communication Alpine for client interactivity,Let HTMX handle server requests Alpine handle UI state,Mix concerns between HTMX and Alpine,<div x-data="modal()" hx-get="/content">Modal</div>,<div hx-get="/content" x-data="{ serverData: null }">Mixed</div>,Medium,
57,Integration,Handle HTMX in Alpine components,Reinitialize Alpine after HTMX swaps,Use htmx:afterSwap to reinit Alpine components,Alpine components break after HTMX updates,document.addEventListener('htmx:afterSwap' Alpine.initTree),No reinitialization after HTMX,High,https://htmx.org/events/#htmx:afterSwap
58,Integration,Pass server data to Alpine,Transfer server state to client components,Use data attributes or JSON scripts to pass data,Hard-code data in JavaScript,<div x-data="component()" data-initial='{"count":5}'>Component</div>,<div x-data="{ count: 5 }">Hard-coded</div>,Medium,
59,Accessibility,Provide ARIA labels,Add proper ARIA labels for dynamic content,Use aria-label aria-labelledby for screen readers,Rely only on visual cues,<button aria-label="Close modal" @click="close()">×</button>,<button @click="close()">×</button>,High,https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA
60,Accessibility,Announce dynamic changes,Use ARIA live regions for dynamic content,Add aria-live for content that changes,Silent updates invisible to screen readers,<div aria-live="polite" x-text="status">Status</div>,<div x-text="status">Status</div>,High,
61,Accessibility,Manage focus properly,Handle focus for modals and dynamic content,Use x-ref and $refs to manage focus,Lose focus context in dynamic content,$refs.firstInput.focus() in x-init,No focus management,High,https://alpinejs.dev/directives/x-ref
62,Accessibility,Support keyboard navigation,Implement proper keyboard support,Handle Enter Escape and arrow keys,Only support mouse interaction,@keydown.escape="close()" @keydown.enter="select()",@click handlers only,High,
63,Progressive-Enhancement,Start with working HTML,Build functionality that works without JavaScript,Create forms and links that work then enhance,Require JavaScript for basic functionality,"<form action=""/users"" method=""post"" hx-post=""/users"">","<div hx-post=""/users""> (not a real form)",High,
64,Progressive-Enhancement,Graceful degradation,Ensure core functionality works if JS fails,Make essential features work server-side,Break completely without JavaScript,Server handles form POST normally,Only HTMX POST works,High,
65,Anti-Patterns,Don't use HTMX for everything,Use HTMX for server interactions not client state,Let HTMX handle server requests Alpine handle UI,Use HTMX for purely client-side interactions,<button hx-get="/data" hx-target="#list">Load</button>,<button hx-get="#" @click="sortClientData()">Sort</button>,Medium,
66,Anti-Patterns,Avoid HTMX/Alpine conflicts,Don't let HTMX and Alpine fight over DOM,Clear separation of concerns between libraries,Both libraries manipulating same elements,HTMX updates content Alpine handles interactions,Both HTMX and Alpine changing same element,High,
67,Anti-Patterns,Don't ignore HTTP semantics,Use proper HTTP methods and status codes,Follow REST principles and HTTP standards,Use wrong methods or ignore status codes,DELETE /users/1 returns 204 No Content,POST /users/delete/1 returns 200 OK,High,
68,Anti-Patterns,Avoid callback hell in Alpine,Keep Alpine component methods simple,Use small focused methods and event handling,Complex nested logic in Alpine methods,Methods do one thing clearly,Massive x-data object with complex nested logic,Medium,
69,Testing,Test server endpoints,Write tests for Axum handlers,Test handlers independently of HTMX,Only test through browser automation,#[tokio::test] async fn test_create_user(),Only end-to-end tests,Medium,
70,Testing,Test Alpine components,Unit test Alpine component logic,Test component behavior and state management,Skip testing client-side logic,Test x-data component factories,No client-side testing,Medium,
71,Deployment,Configure CORS properly,Set appropriate CORS headers,Configure CORS for your domain requirements,Open CORS to all origins in production,CorsLayer::new().allow_origin("https://mydomain.com"),allow_origin(Any) in production,High,
72,Deployment,Use HTTPS in production,Serve over HTTPS for security,Use TLS certificates and secure headers,Serve over HTTP in production,HTTPS with security headers,HTTP in production,High,
