No,Pattern_Name,Category,Description,Visual_Design,Interaction_Behavior,Code_Example_Good,Code_Example_Bad,UX_Principle,Technical_Implementation,Accessibility_Notes,Use_Cases,Anti_Patterns,Severity
15,Safety and Content Filtering,Content Moderation,Visual indicators when content is filtered or flagged for safety,Warning badges with explanation and appeal options,"Content warnings filter explanations override requests","<div class='content-warning'><Icon name='warning'/>Potentially sensitive content</div>","Content blocked with no explanation","Transparent content moderation policies","Content classification safety filtering user appeals","Clear warning text accessible override options","Public AI systems educational content user-generated interactions","Hidden filtering unexplained blocks",HIGH
16,Memory and Personalization Panel,AI Memory,Show what AI remembers about user preferences and past interactions,Memory cards with edit and delete capabilities,"View memories edit preferences clear data","<div class='memory-panel'><div class='memory-item'>Prefers Python code</div></div>","No indication of personalization or memory","Transparency in AI personalization","User preference storage memory management privacy controls","Clear memory descriptions accessible data controls","Personal assistants long-term relationships customization","Hidden personalization no memory control",MEDIUM
17,Model Selection Interface,AI Transparency,Allow users to choose between different AI models with capability descriptions,Model cards with strengths limitations and use cases,"Model comparison capability matching selection guidance","<select class='model-picker'><option>GPT-4 - Best for analysis</option></select>","Hidden model selection by system only","Give users control over AI capabilities","Model metadata capability assessment performance tracking","Clear model descriptions keyboard navigation","Power users specialized tasks performance optimization","Hidden model differences no user choice",LOW
18,Latency and Performance Display,System Status,Show response time processing status and system performance metrics,Performance dashboard with response time graphs,"Real-time metrics performance history status alerts","<div class='perf-meter'><span>Response: 1.2s</span><div class='status good'/></div>","No performance visibility for users","Transparency in system performance","Performance monitoring latency tracking status reporting","Screen reader announcements of status changes","Professional use system monitoring performance-critical tasks","Hidden performance issues no status indication",LOW
19,Undo and Revision History,Version Control,Track and allow rollback of conversation state and AI modifications,Timeline view with restore points and change previews,"Checkpoint creation rollback navigation change comparison","<div class='history'><div class='checkpoint'>Checkpoint: Before code changes</div></div>","No undo capability for AI interactions","User control over conversation evolution","State management checkpoint creation diff generation","Keyboard navigation through history clear change descriptions","Code editing document revision experimental conversations","No rollback capability permanent changes only",MEDIUM
20,Capability Communication,Feature Discovery,Clearly communicate what AI can and cannot do in current context,Capability cards with examples and limitations,"Contextual capability hints example prompts limitation warnings","<div class='capabilities'><div class='can-do'>I can analyze code</div></div>","No indication of AI capabilities or limits","Set appropriate user expectations","Capability detection context analysis feature flagging","Clear capability descriptions accessible help text","New users capability discovery appropriate task matching","Unclear capabilities trial and error discovery",MEDIUM
21,Contextual Help and Guidance,User Education,Provide contextual tips and guidance for effective AI interaction,Smart help tooltips and guided interaction patterns,"Contextual tips guided prompts interaction coaching","<div class='help-tip'>💡 Try being more specific about your requirements</div>","No guidance for effective AI interaction","Educate users for better interactions","Usage pattern analysis tip recommendation engine","Accessible help text keyboard-accessible tips","New AI users complex features optimization guidance","No user education poor interaction patterns",LOW
22,Cross-modal Response Linking,Multi-modal Output,Link related content across text images and other media in responses,Visual connections between related content elements,"Hover highlighting click navigation related content grouping","<div class='linked-content'><img class='linked' data-ref='text-1'/><p id='text-1'>...</p></div>","Disconnected multi-modal content presentation","Show relationships in complex responses","Content relationship mapping cross-reference tracking","Screen reader support for content relationships","Educational content complex explanations multimedia responses","Isolated content types no relationship indication",LOW
23,Adaptive Interface Density,Personalization,Adjust interface complexity based on user expertise and preferences,Progressive disclosure with density controls,"Compact/comfortable/spacious modes progressive feature revelation","<div class='interface' data-density='comfortable'><!-- Adaptive content --></div>","Fixed interface complexity for all users","Accommodate different user needs and expertise levels","User preference tracking interface state management","Respect user density preferences accessible at all levels","Expert vs novice users different use contexts","One-size-fits-all interface complexity",LOW
24,Intent Clarification Dialog,Input Processing,Ask clarifying questions when user intent is ambiguous,Question cards with multiple choice or guided input,"Clarification prompts guided refinement intent confirmation","<div class='clarification'><p>Did you mean:</p><button>Option A</button></div>","Guess at user intent without clarification","Improve response accuracy through better understanding","Intent classification ambiguity detection clarification generation","Accessible question formats clear option descriptions","Ambiguous requests complex queries multi-step tasks","Wrong assumptions no clarification seeking",MEDIUM
25,Bias and Fairness Indicators,Ethical AI,Show when AI responses might contain bias or need diverse perspectives,Bias warning badges with explanation and diverse viewpoint suggestions,"Bias alerts perspective suggestions fairness explanations","<div class='bias-alert'>⚠️ This topic benefits from diverse perspectives</div>","No bias awareness or warnings","Promote fair and inclusive AI interactions","Bias detection algorithms fairness metrics diversity suggestions","Clear bias explanations accessible warning formats","Sensitive topics decision making recommendation systems","Hidden bias no fairness consideration",HIGH
