term,description,examples,implementation,accessibility,trust_factors,category,use_cases,frameworks,reasoning
loading-skeleton,Placeholder content shown while AI generates response,Animated skeleton matching expected response structure,<div class="response-skeleton"><div class="line long"></div><div class="line medium"></div><div class="line short"></div></div>,Proper contrast for skeleton animations reduced motion support,Loading states manage user expectations,Conversation Flow,Any AI interface with response delays,All frameworks,Skeletons provide better UX than blank space during AI generation
model-selector,Interface for choosing different AI models or capabilities,Dropdown or radio buttons for model selection with capability descriptions,"<select class=""model-selector""><option value=""fast"">Fast Model - Quick responses</option><option value=""accurate"">Accurate Model - Detailed analysis</option></select>",Clear model descriptions accessible form controls,Model transparency helps users choose appropriate AI capability,Tool Integration,AI platforms with multiple models developer tools,All frameworks,Different AI models have different strengths users should be able to choose
response-rating,User feedback mechanism for AI response quality,Thumbs up/down or star rating with optional feedback text,<div class="response-rating"><button class="rate-btn" data-rating="up">👍</button><button class="rate-btn" data-rating="down">👎</button><textarea placeholder="Optional feedback"></textarea></div>,Keyboard accessible rating buttons clear feedback form labels,User feedback improves AI quality and user satisfaction,Trust & Transparency,AI training feedback loops quality assurance,All frameworks,User feedback is essential for improving AI performance and user experience
safety-warning,Alerts for potentially harmful or biased AI responses,Warning badges with explanation of potential issues,<div class="safety-warning"><span class="icon">⚠️</span><span class="text">This response may contain biased information. Please verify independently.</span></div>,High contrast warning colors clear warning text for screen readers,Safety warnings maintain user trust and promote responsible AI use,Trust & Transparency,AI content moderation safety-critical applications,All frameworks,Users need warnings about potential AI limitations or biases
conversation-export,Interface for saving or sharing AI conversations,Export buttons with format options (PDF JSON plain text),<div class="export-options"><button class="export-btn" data-format="pdf">Export as PDF</button><button class="export-btn" data-format="txt">Export as Text</button></div>,Clear export format descriptions keyboard accessible export options,Export functionality gives users control over their AI conversation data,Conversation Flow,AI research tools knowledge management learning applications,All frameworks,Users often want to save valuable AI conversations for future reference
token-usage,Display of AI token/credit usage for cost transparency,Progress bar or meter showing usage with cost information,<div class="token-usage"><span class="label">Tokens used:</span><div class="usage-bar"><div class="used" style="width: 30%"></div></div><span class="count">300/1000</span></div>,Screen reader announcement of usage levels clear cost information,Usage transparency helps users manage AI costs and understand resource consumption,Trust & Transparency,Paid AI services enterprise AI platforms cost-conscious applications,All frameworks,Users need to understand AI usage costs to make informed decisions about their interactions
collaborative-chat,Interface for multiple users interacting with same AI,User avatars message attribution collaborative editing indicators,"<div class=""message collaborative""><img class=""avatar"" src=""user.jpg""><span class=""author"">John:</span><span class=""content"">AI please help us...</span></div>",Clear attribution of messages to users proper heading structure for conversations,Collaboration features enhance team productivity with AI,Conversation Flow,Team AI assistants collaborative workspaces group problem solving,React Vue Angular,Teams often need shared AI assistance for collaborative work and decision making
quick-actions,Predefined action buttons for common AI interactions,Button grid with common requests or follow-up actions,<div class="quick-actions"><button class="action-btn" data-action="summarize">Summarize this</button><button class="action-btn" data-action="explain">Explain further</button><button class="action-btn" data-action="examples">Give examples</button></div>,Keyboard navigation through quick actions clear button labeling,Quick actions reduce friction and improve user experience with AI,Tool Integration,AI writing assistants code helpers educational AI,All frameworks,Users often have common follow-up requests that can be streamlined with quick actions
voice-input,Voice-to-text interface for AI interactions,Microphone button with recording indicator and voice transcription,<div class="voice-input"><button class="mic-btn" aria-label="Start voice recording"><span class="mic-icon">🎤</span></button><div class="transcription">Voice transcription appears here...</div></div>,Screen reader announcements for recording state keyboard alternative for voice input,Voice input provides accessibility and convenience for AI interaction,Tool Integration,Accessibility applications mobile AI interfaces hands-free AI interaction,Web Speech API React Native,Voice input provides natural interaction method especially important for accessibility
conversation-search,Search functionality within AI conversation history,Search bar with filters for finding past interactions,<div class="conversation-search"><input type="search" placeholder="Search conversation history..." aria-label="Search conversations"><div class="search-filters"><label><input type="checkbox"> This week only</label></div></div>,Proper search form semantics keyboard navigation through results,Search helps users find valuable past AI interactions,Conversation Flow,Long-term AI assistants knowledge management research tools,All frameworks,Users accumulate valuable AI conversations over time and need way to find specific information
adaptive-ui,Interface that learns and adapts to user preferences,Personalized quick actions customized layouts based on usage patterns,<div class="adaptive-suggestions"><h3>Suggested for you:</h3><button class="suggestion" data-learned="true">Code review checklist</button></div>,Personalization must not break accessibility patterns clear indication of adaptive features,Adaptive interfaces improve long-term user experience with AI,Trust & Transparency,Long-term AI assistants personalized AI tools learning applications,Machine learning frameworks + UI frameworks,AI interfaces should learn user patterns to provide more relevant and efficient interactions
multimodal-input,Interface supporting text voice image and file inputs to AI,Unified input area with multiple input method buttons,<div class="multimodal-input"><textarea placeholder="Type your message..."></textarea><div class="input-methods"><button class="method-btn" data-type="voice">🎤</button><button class="method-btn" data-type="image">📷</button><button class="method-btn" data-type="file">📎</button></div></div>,Clear labeling for each input method keyboard navigation between input types,Multimodal input allows richer AI interactions matching user needs,Tool Integration,Advanced AI assistants creative AI tools multimodal AI models,Modern web APIs + frameworks,Users often want to provide AI with different types of input beyond just text for richer interactions
response-branching,Interface for exploring alternative AI responses or conversation paths,Branch indicators with ability to explore different response variations,"<div class=""response-branches""><div class=""current-response"">Current response...</div><div class=""branch-options""><button class=""branch-btn"">Alternative approach</button><button class=""branch-btn"">More detailed</button></div></div>",Keyboard navigation between branches clear indication of current vs alternative responses,Response branching gives users more control over AI conversation flow,Conversation Flow,Creative AI applications writing assistants complex problem solving,State management + UI frameworks,Users benefit from exploring different AI response approaches for complex questions
