term,description,structure,benefits,trade_offs,implementation_guide,examples,testing_approach,category,complexity
port-adapter-pattern,Isolate business logic using ports (interfaces) and adapters (implementations),Business logic core with port interfaces implemented by adapter classes,Technology independence easy mocking improved testability,Additional abstraction layer requires interface design discipline,Define port interfaces implement concrete adapters use dependency injection container,EmailService port with SMTPAdapter SendGridAdapter ConsoleAdapter implementations,Mock ports for unit tests test adapters separately verify port contracts,Hexagonal,Medium
aggregate-root-pattern,Domain entities that serve as consistency boundaries in complex domains,Root entity manages child entities enforces invariants controls access,Strong consistency clear ownership easier transaction management,Complexity for simple domains potential performance bottlenecks,Identify true aggregate boundaries implement invariant validation provide clear public interface,Order aggregate root manages OrderItems enforces business rules controls order state changes,Unit test aggregate invariants integration test aggregate persistence test domain events,Domain-Driven,High
cqrs-pattern,Command Query Responsibility Segregation separating reads from writes,Separate command models (writes) from query models (reads) with different optimization,Read/write optimization scalability different models for different use cases,Complexity increased infrastructure eventual consistency challenges,Separate command and query handlers use different data models implement event sourcing if needed,CreateOrder command handler and OrderQuery handler with optimized read models for different views,Test commands and queries separately integration test eventual consistency scenarios,Clean Architecture,High
event-sourcing,Store all changes as sequence of events rather than current state,Event store with event handlers for building read models and projections,Complete audit trail temporal queries easier debugging replay capability,Storage overhead complexity eventual consistency learning curve,Design events as facts use event store implement projection builders handle event versioning,UserRegistered UserEmailChanged UserDeactivated events build current user state from event stream,Test event handlers unit test projections integration test event store boundaries,Domain-Driven,High
repository-pattern,Encapsulate data access logic behind repository interfaces,Repository interface with implementations for different data sources,Data source independence easier testing clear data access boundaries,Additional abstraction layer potential over-engineering for simple CRUD,Define repository interfaces implement concrete repositories use dependency injection,UserRepository interface with DatabaseUserRepository and CacheUserRepository implementations,Mock repositories for unit tests test repository implementations separately,Clean Architecture,Medium
factory-pattern,Create objects without exposing creation logic using factory methods,Factory classes or functions that create and configure complex objects,Centralized creation logic easier testing configuration management,Additional complexity may be overkill for simple object creation,Create factory functions for complex objects use builder pattern for configuration,ComponentFactory creates configured components with proper props themes and event handlers,Unit test factory methods verify correct object creation test different factory configurations,Component Architecture,Low
observer-pattern,Define subscription mechanism to notify multiple objects about events,Observable objects with observer lists and notification methods,Loose coupling event-driven updates multiple subscribers,Potential memory leaks observer chain complexity debugging challenges,Implement observer interface maintain observer lists provide subscribe/unsubscribe methods,"StateManager notifies components when state changes EventBus notifies handlers when events occur",Test observer registration notification delivery memory cleanup,Component Architecture,Medium
strategy-pattern,Define family of algorithms make them interchangeable at runtime,Context class with strategy interface and concrete strategy implementations,Algorithm flexibility easy testing runtime strategy switching,Additional abstraction overhead potential over-engineering,Define strategy interface implement concrete strategies use dependency injection for strategy selection,ValidationStrategy with EmailValidation PasswordValidation PhoneValidation implementations,Unit test each strategy separately integration test strategy switching,Clean Architecture,Medium
decorator-pattern,Add behavior to objects dynamically without altering their structure,Wrapper components or HOCs that enhance base component functionality,Component enhancement composition over inheritance flexible feature addition,Wrapper complexity potential performance overhead debugging wrapped components,Create HOC or wrapper components maintain original interface use composition patterns,withLoading withAuth withAnalytics HOCs that enhance base components with additional behavior,Test decorators separately test enhanced components integration test decorator combinations,Component Architecture,Medium
facade-pattern,Provide simplified interface to complex subsystem hiding internal complexity,Facade class that coordinates multiple subsystem components,Simplified API reduced coupling easier client usage,Potential God object risk hiding too much complexity,Create facade for complex operations maintain single responsibility delegate to subsystems,APIFacade coordinates authentication data fetching caching and error handling subsystems,Unit test facade methods integration test subsystem coordination,Clean Architecture,Low
adapter-pattern,Allow incompatible interfaces to work together through adapter interface,Adapter class that translates between incompatible interfaces,Interface compatibility legacy system integration third-party library integration,Additional abstraction layer potential performance overhead,Create adapter for each incompatible interface maintain consistent internal interfaces,LegacyAPIAdapter translates modern interface calls to legacy API format for backward compatibility,Unit test adapter translation integration test with real incompatible systems,Hexagonal,Medium
singleton-pattern,Ensure single instance of class with global access point,Class with private constructor static instance method and instance storage,Global state management resource sharing single configuration source,Global state issues testing difficulties tight coupling potential concurrency issues,Use dependency injection instead of singleton implement lazy initialization consider alternatives,ConfigManager ensures single configuration instance but prefer dependency injection,Test singleton behavior verify single instance test cleanup in isolation,Component Architecture,Low
template-method-pattern,Define skeleton of algorithm in base class with customizable steps,Abstract base class with template method and abstract step methods,Code reuse algorithm consistency customizable behavior steps,Inheritance coupling rigid algorithm structure difficult testing,Create abstract base class define template method implement concrete subclasses,"FormValidator base class with validate() template method specific validators implement validation steps",Unit test template method test concrete implementations separately,Component Architecture,Medium
command-pattern,Encapsulate requests as objects allowing parameterization and queuing,Command objects with execute method and optional undo functionality,Request queuing undo/redo functionality macro commands logging,Additional object complexity over-engineering for simple operations,Create command interface implement concrete commands use command invoker for execution,UndoableCommand with execute() and undo() methods for text editor operations and form changes,Unit test command execution test undo functionality integration test command sequences,Clean Architecture,Medium
