No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Notes
34,Insurance Defense Firm,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for insurance defense firm.
35,Civil Rights Attorney,#2A2A2E,#FFFFFF,#45464C,#FFFFFF,#7B1E3B,#FFFFFF,#FAF9F9,#1C1C1F,#FFFFFF,#1C1C1F,#ECEAEB,#5E5A5C,#DED9DB,#B42318,#FFFFFF,#7B1E3B,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white — professional legal palette for civil rights attorney.
36,Social Security Disability Attorney,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for social security disability attorney.
37,Veterans Benefits Attorney,#14432A,#FFFFFF,#2E5D42,#FFFFFF,#8A5A1C,#FFFFFF,#F7F9F6,#14251C,#FFFFFF,#14251C,#E6EDE7,#566B5E,#D6E0D6,#B42318,#FFFFFF,#14432A,Deep Forest (#14432A) + Camel (#8A5A1C) + Cream — professional legal palette for veterans benefits attorney.
38,Education Law Attorney,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for education law attorney.
39,Entertainment & Media Lawyer,#1C1C22,#FFFFFF,#3A3A44,#FFFFFF,#8C6A1F,#FFFFFF,#FBFAF7,#17171C,#FFFFFF,#17171C,#ECEAE4,#5C5A54,#DCD8CE,#B42318,#FFFFFF,#8C6A1F,Ink Black (#1C1C22) + Brass (#8C6A1F) + Ivory — professional legal palette for entertainment & media lawyer.
40,Sports Law Agency,#1E3A5F,#FFFFFF,#33506F,#FFFFFF,#A67C00,#FFFFFF,#F7F8FA,#17233A,#FFFFFF,#17233A,#E7ECF3,#5A6B82,#D8E0EA,#B42318,#FFFFFF,#1E3A5F,Navy (#1E3A5F) + Gold (#A67C00) + White — professional legal palette for sports law agency.
41,Environmental Law Firm,#14432A,#FFFFFF,#2E5D42,#FFFFFF,#8A5A1C,#FFFFFF,#F7F9F6,#14251C,#FFFFFF,#14251C,#E6EDE7,#566B5E,#D6E0D6,#B42318,#FFFFFF,#14432A,Deep Forest (#14432A) + Camel (#8A5A1C) + Cream — professional legal palette for environmental law firm.
42,Construction Law Attorney,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for construction law attorney.
43,Maritime & Admiralty Lawyer,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for maritime & admiralty lawyer.
44,Aviation Law Firm,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for aviation law firm.
45,Cannabis Law Firm,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for cannabis law firm.
46,Cryptocurrency & Fintech Law,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for cryptocurrency & fintech law.
47,Data Privacy & Cybersecurity Law,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for data privacy & cybersecurity law.
48,Healthcare Law Firm,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for healthcare law firm.
49,Appellate Practice,#1C1C22,#FFFFFF,#3A3A44,#FFFFFF,#8C6A1F,#FFFFFF,#FBFAF7,#17171C,#FFFFFF,#17171C,#ECEAE4,#5C5A54,#DCD8CE,#B42318,#FFFFFF,#8C6A1F,Ink Black (#1C1C22) + Brass (#8C6A1F) + Ivory — professional legal palette for appellate practice.
50,General Practice Law Firm,#1E3A5F,#FFFFFF,#33506F,#FFFFFF,#A67C00,#FFFFFF,#F7F8FA,#17233A,#FFFFFF,#17233A,#E7ECF3,#5A6B82,#D8E0EA,#B42318,#FFFFFF,#1E3A5F,Navy (#1E3A5F) + Gold (#A67C00) + White — professional legal palette for general practice law firm.
51,Solo Practitioner Website,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for solo practitioner website.
52,Boutique Law Firm,#1C1C22,#FFFFFF,#3A3A44,#FFFFFF,#8C6A1F,#FFFFFF,#FBFAF7,#17171C,#FFFFFF,#17171C,#ECEAE4,#5C5A54,#DCD8CE,#B42318,#FFFFFF,#8C6A1F,Ink Black (#1C1C22) + Brass (#8C6A1F) + Ivory — professional legal palette for boutique law firm.
53,Mid-Size Regional Firm,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for mid-size regional firm.
54,BigLaw / Global Firm,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for biglaw / global firm.
55,Virtual / Online Law Firm,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for virtual / online law firm.
56,Legal Aid / Pro Bono Organization,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for legal aid / pro bono organization.
57,Public Defender / Government Legal,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for public defender / government legal.
58,Legal Case Management SaaS,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for legal case management saas.
59,Law Practice Management Platform,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for law practice management platform.
60,Legal Billing & Time Tracking,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for legal billing & time tracking.
61,E-Discovery Platform,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for e-discovery platform.
62,Legal Research Platform,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for legal research platform.
63,Contract Lifecycle Management (CLM),#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for contract lifecycle management (clm).
64,Legal Document Automation,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for legal document automation.
65,Client Intake & Legal CRM,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for client intake & legal crm.
66,Court E-Filing & Docketing,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for court e-filing & docketing.
67,Legal AI Assistant / Chatbot,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for legal ai assistant / chatbot.
68,Legal Compliance Platform,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for legal compliance platform.
69,IP / Patent Docketing Platform,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for ip / patent docketing platform.
70,Deposition & Transcription Platform,#3B82F6,#FFFFFF,#1E293B,#E2E8F0,#F59E0B,#0B1220,#0B1220,#E5EAF2,#121B2D,#E5EAF2,#1B2740,#94A3B8,#263248,#F87171,#0B1220,#3B82F6,Dark graphite bg + Trust Blue (#3B82F6) + Amber alerts — professional legal palette for deposition & transcription platform.
71,Attorney Directory / Marketplace,#1E3A5F,#FFFFFF,#33506F,#FFFFFF,#A67C00,#FFFFFF,#F7F8FA,#17233A,#FFFFFF,#17233A,#E7ECF3,#5A6B82,#D8E0EA,#B42318,#FFFFFF,#1E3A5F,Navy (#1E3A5F) + Gold (#A67C00) + White — professional legal palette for attorney directory / marketplace.
72,Lawyer Referral Service,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for lawyer referral service.
73,Online Legal Documents (DIY),#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for online legal documents (diy).
74,Legal Consultation Booking,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for legal consultation booking.
75,Bar Exam Prep Platform,#1A1A1A,#FFFFFF,#3D3D3D,#FFFFFF,#7B341E,#FFFFFF,#FBFAF7,#1A1A1A,#FFFFFF,#1A1A1A,#EDEBE6,#5C5A54,#DEDBD3,#B42318,#FFFFFF,#7B341E,Ink (#1A1A1A) + Rust (#7B341E) + Paper white — professional legal palette for bar exam prep platform.
76,Law School / Legal Education,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for law school / legal education.
77,CLE / Continuing Legal Education,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for cle / continuing legal education.
78,Mediation & Arbitration Services,#14432A,#FFFFFF,#2E5D42,#FFFFFF,#8A5A1C,#FFFFFF,#F7F9F6,#14251C,#FFFFFF,#14251C,#E6EDE7,#566B5E,#D6E0D6,#B42318,#FFFFFF,#14432A,Deep Forest (#14432A) + Camel (#8A5A1C) + Cream — professional legal palette for mediation & arbitration services.
79,Process Serving / Court Reporting,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for process serving / court reporting.
80,Expert Witness Directory,#1C1C22,#FFFFFF,#3A3A44,#FFFFFF,#8C6A1F,#FFFFFF,#FBFAF7,#17171C,#FFFFFF,#17171C,#ECEAE4,#5C5A54,#DCD8CE,#B42318,#FFFFFF,#8C6A1F,Ink Black (#1C1C22) + Brass (#8C6A1F) + Ivory — professional legal palette for expert witness directory.
