No,Category,Icon Name,Keywords,Library,Import Code,Usage,Best For,Style
63,Files,paperclip,attachment attach file link,Phosphor,import { Paperclip } from '@phosphor-icons/react',"<Paperclip size={20} weight=""regular"" />",Attach exhibit or supporting document,Outline
64,Files,link,url hyperlink chain connect,Phosphor,import { Link } from '@phosphor-icons/react',"<Link size={20} weight=""regular"" />","Link to statute, citation or court record",Outline
65,Files,clipboard,clipboard intake checklist client form notes,Phosphor,import { Clipboard } from '@phosphor-icons/react',"<Clipboard size={20} weight=""regular"" />","Client intake form, case checklist",Outline
66,Layout,grid-four,tiles gallery layout dashboard,Phosphor,import { GridFour } from '@phosphor-icons/react',"<GridFour size={20} weight=""regular"" />","Practice areas grid, attorney gallery",Outline
67,Layout,list-bullets,rows table lines items,Phosphor,import { ListBullets } from '@phosphor-icons/react',"<ListBullets size={20} weight=""regular"" />","Case list, document list view",Outline
68,Layout,columns,layout split dual sidebar,Phosphor,import { Columns } from '@phosphor-icons/react',"<Columns size={20} weight=""regular"" />",Split case comparison view,Outline
69,Layout,arrows-out,fullscreen expand enlarge zoom,Phosphor,import { ArrowsOut } from '@phosphor-icons/react',"<ArrowsOut size={20} weight=""regular"" />",Expand document viewer fullscreen,Outline
70,Layout,arrows-in,reduce shrink collapse exit,Phosphor,import { ArrowsIn } from '@phosphor-icons/react',"<ArrowsIn size={20} weight=""regular"" />",Collapse document viewer,Outline
71,Layout,sidebar,panel drawer navigation menu,Phosphor,import { Sidebar } from '@phosphor-icons/react',"<Sidebar size={20} weight=""regular"" />","Case navigation sidebar, client portal panel",Outline
72,Social,medal,medal award recognition honor top attorney accolade,Phosphor,import { Medal } from '@phosphor-icons/react',"<Medal size={20} weight=""regular"" />","Awards, super lawyer badges, firm accolades",Outline
73,Social,star,rating review testimonial client stars feedback,Phosphor,import { Star } from '@phosphor-icons/react',"<Star size={20} weight=""regular"" />","Client review rating, testimonial stars",Outline
74,Social,shield-check,shield check defense protection verified secure privilege,Phosphor,import { ShieldCheck } from '@phosphor-icons/react',"<ShieldCheck size={20} weight=""regular"" />","Legal defense, protection guarantee, verified attorney",Outline
75,Social,quotes,quotes testimonial review client feedback quotation,Phosphor,import { Quotes } from '@phosphor-icons/react',"<Quotes size={20} weight=""regular"" />","Client testimonials, case result quotes",Outline
76,Social,bookmark,save later favorite mark,Phosphor,import { Bookmark } from '@phosphor-icons/react',"<Bookmark size={20} weight=""regular"" />","Save case, bookmark statute or precedent",Outline
77,Social,flag,report mark important highlight,Phosphor,import { Flag } from '@phosphor-icons/react',"<Flag size={20} weight=""regular"" />",Flag urgent case or priority deadline,Outline
78,Device,device-mobile,mobile phone device touch,Phosphor,import { DeviceMobile } from '@phosphor-icons/react',"<DeviceMobile size={20} weight=""regular"" />",Mobile client portal access,Outline
79,Device,device-tablet,ipad device touch screen,Phosphor,import { DeviceTablet } from '@phosphor-icons/react',"<DeviceTablet size={20} weight=""regular"" />",Tablet e-signature signing,Outline
80,Device,monitor,desktop screen computer display,Phosphor,import { Monitor } from '@phosphor-icons/react',"<Monitor size={20} weight=""regular"" />",Desktop client portal,Outline
81,Device,laptop,notebook computer portable device,Phosphor,import { Laptop } from '@phosphor-icons/react',"<Laptop size={20} weight=""regular"" />","Remote consultation, virtual meeting",Outline
82,Device,printer,print document output paper,Phosphor,import { Printer } from '@phosphor-icons/react',"<Printer size={20} weight=""regular"" />",Print contract or court filing,Outline
83,Security,lock,secure confidential privileged private locked case,Phosphor,import { Lock } from '@phosphor-icons/react',"<Lock size={20} weight=""regular"" />","Confidential case file, secure document",Outline
84,Security,lock-key,lock key secure confidential client portal encrypted privacy,Phosphor,import { LockKey } from '@phosphor-icons/react',"<LockKey size={20} weight=""regular"" />","Secure client portal, confidential access",Outline
85,Security,shield,protection privilege shield defense guard secure,Phosphor,import { Shield } from '@phosphor-icons/react',"<Shield size={20} weight=""regular"" />",Attorney-client privilege protection,Outline
86,Security,key,password access unlock login,Phosphor,import { Key } from '@phosphor-icons/react',"<Key size={20} weight=""regular"" />",Secure client portal access key,Outline
87,Security,eye,view show visible password,Phosphor,import { Eye } from '@phosphor-icons/react',"<Eye size={20} weight=""regular"" />",View confidential document,Outline
88,Security,eye-slash,hide invisible password hidden,Phosphor,import { EyeSlash } from '@phosphor-icons/react',"<EyeSlash size={20} weight=""regular"" />",Redact or hide privileged content,Outline
89,Location,map-pin,location map pin office courthouse address place,Phosphor,import { MapPin } from '@phosphor-icons/react',"<MapPin size={20} weight=""regular"" />","Law office location, courthouse address",Outline
90,Location,map,directions navigate geography location,Phosphor,import { Map } from '@phosphor-icons/react',"<Map size={20} weight=""regular"" />",Directions to office or courthouse,Outline
91,Location,compass,compass direction pointer arrow,Phosphor,import { Compass } from '@phosphor-icons/react',"<Compass size={20} weight=""regular"" />",Navigate practice areas,Outline
92,Location,globe,world international global web,Phosphor,import { Globe } from '@phosphor-icons/react',"<Globe size={20} weight=""regular"" />",Multi-jurisdiction / international practice,Outline
93,Time,calendar,date schedule consultation booking court deadline appointment,Phosphor,import { Calendar } from '@phosphor-icons/react',"<Calendar size={20} weight=""regular"" />","Consultation booking, court deadlines",Outline
94,Time,arrows-clockwise,reload sync update refresh,Phosphor,import { ArrowsClockwise } from '@phosphor-icons/react',"<ArrowsClockwise size={20} weight=""regular"" />",Refresh case status,Outline
95,Time,arrow-counter-clockwise,undo back revert history,Phosphor,import { ArrowCounterClockwise } from '@phosphor-icons/react',"<ArrowCounterClockwise size={20} weight=""regular"" />",Undo document edit,Outline
96,Time,arrow-clockwise,redo forward repeat history,Phosphor,import { ArrowClockwise } from '@phosphor-icons/react',"<ArrowClockwise size={20} weight=""regular"" />",Redo document edit,Outline
97,Legal,briefcase,briefcase practice case attorney work legal portfolio matter,Phosphor,import { Briefcase } from '@phosphor-icons/react',"<Briefcase size={20} weight=""regular"" />","Practice areas, attorney portfolio, active cases",Outline
98,Legal,signature,signature esignature sign contract pen agreement execute,Phosphor,import { Signature } from '@phosphor-icons/react',"<Signature size={20} weight=""regular"" />","E-signature, contract execution, signing",Outline
99,Legal,scroll,scroll contract document parchment agreement legal terms,Phosphor,import { Scroll } from '@phosphor-icons/react',"<Scroll size={20} weight=""regular"" />","Contracts, legal agreements, terms of service",Outline
100,Legal,seal-check,seal check verified badge certified attorney approved trust,Phosphor,import { SealCheck } from '@phosphor-icons/react',"<SealCheck size={20} weight=""regular"" />","Verified attorney badge, certified credentials",Outline
101,Style Config,bold-typography-icon-system,"bold typography, editorial, mono label, phosphor, weight regular, minimal, icon+label required, size 20–32",Phosphor (react-native),import { ArrowRight } from 'phosphor-react-native',"<ArrowRight size={20} weight=""regular"" color={colors.accent} />","Bold Typography Mobile style: weight=""regular"". Size 20px for UI controls, 32px for feature anchors. Icons MUST be paired with a Mono-stack text label (JetBrains Mono). Standalone icons only allowed for standard navigation (e.g., Back arrow). Accent color #FF3D00 only.",Outline
102,Style Config,cyberpunk-icon-system,"cyberpunk, neon, glow, hud, phosphor, weight regular, accent glow, dark, angular, react native",Phosphor (react-native),import { Lightning } from 'phosphor-react-native',"<Lightning size={24} weight=""regular"" color={colors.accent} />","Cyberpunk Mobile HUD style: weight=""regular"", color={colors.accent} (#00FF88 Matrix Green). Wrap every icon in a View with shadowColor: colors.accent / shadowOpacity: 0.6 / shadowRadius: 8 to simulate neon glow. Use borderRadius: 0 on wrapper. Avoid rounded icon containers. Always pair icon with data label in JetBrains Mono.",Outline
103,Style Config,academia-icon-system,"academia, library, brass, ornate, phosphor, weight thin, muted warm, scholarly, mobile",Phosphor (react-native),import { BookOpen } from 'phosphor-react-native',"<BookOpen size={22} weight=""thin"" color={colors.brass} />","Academia (Scholarly Mobile) style: weight=""thin"" (thin engraved feel), color={colors.brass} (#C9A962). No sharp geometric or tech-inspired icons. Prefer book, scroll, key, quill-type icon metaphors. Wrap in circular View with 1px brass border. Avoid neon or saturated colored icons. All icon-only navigation must have an accessibilityLabel.",Outline
104,Style Config,web3-bitcoin-icon-system,"web3, bitcoin, defi, crypto, neon orange, holographic, blurview, phosphor, glow, fintech mobile",Phosphor (react-native),import { TrendUp } from 'phosphor-react-native',"<TrendUp size={24} weight=""regular"" color={colors.bitcoinOrange} />","Bitcoin DeFi Mobile style: weight=""regular"", color={colors.bitcoinOrange} (#F7931A). Wrap icons in circular BlurView (intensity: 20) with 1px borderColor: '#F7931A' border (Holographic Node effect). shadowColor: '#F7931A' / shadowOpacity: 0.4 / shadowRadius: 8. Prefer finance/data icons (TrendUp, Wallet, Shield, Layers). All data icons use JetBrains Mono label.",Outline
105,Guideline,icon-fallback-rules,"icon fallback, phosphor, heroicons, any icon, extended set",Phosphor (primary) + Heroicons (fallback),Primary: import { IconName } from '@phosphor-icons/react'. Fallback: import { IconName } from '@heroicons/react/24/outline' or '@heroicons/react/24/solid'.,当默认列表中没有合适图标时：优先继续从 Phosphor 中选择任何语义更贴切的图标（不必局限于本表列出的图标）。若 Phosphor 也无合适图标，可以改用 Heroicons，并在 UI 代码中保持风格统一（线性或填充、圆角程度、笔画粗细等）。,Icon library strategy and fallback rules,Outline
