No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
13,Consultation Booking Landing,"consultation, booking, schedule, appointment, calendar, intake, conversion","1. Hero (book in 2 minutes), 2. Choose practice area/attorney, 3. Pick a time (calendar), 4. Details + confirm, 5. What to expect / reassurance",Calendar/booking widget as hero + sticky 'Book now',"Calm trust palette; available slots in success tone, booked muted.","Calendar slot selection, confirmation animation, reminder opt-in",Minimize steps to booking. Show real availability. Send confirmation + reminders. Reassure about confidentiality and no-obligation consultation.
14,Client Intake Wizard,"intake, wizard, client onboarding, form, questionnaire, secure, conversion","1. Intro (what you'll need + privacy), 2. Case details step, 3. Personal details step, 4. Document upload step, 5. Review & submit + next steps",Step navigation + final submit,"Neutral, focused. Progress bar in brand color. Secure/lock indicators visible.","Step progress, autosave, inline validation, secure-upload feedback",Break long intake into steps with autosave. Show privacy/encryption (attorney-client confidentiality). Allow document upload. Confirm next steps clearly.
15,Pricing / Flat-Fee Landing,"pricing, flat fee, packages, transparent, cost, plans, conversion","1. Hero (transparent pricing promise), 2. Package cards (flat-fee services), 3. What's included comparison, 4. FAQ (fees, scope), 5. Get started CTA",Each package CTA + sticky 'Get started',"Popular package highlighted in brand accent. Others neutral. Clean, honest layout.","Package hover lift, toggle (one-time/subscription), FAQ accordion","Transparency builds trust for consumer legal (wills, LLCs, uncontested divorce). Show what's included/excluded. Address 'why not DIY' in FAQ. Clear scope."
16,FAQ / Legal Resource Center,"faq, resources, legal help, knowledge base, questions, seo, support","1. Hero (search your legal question), 2. Popular topics, 3. FAQ accordion by practice area, 4. Guides/resources, 5. 'Still need help?' consultation CTA",Search bar + consultation CTA for unresolved questions,"Clean, readable, minimal color. Category icons in brand tone. Success tone for resolved.","Search autocomplete, accordion open/close, helpful-vote feedback",Answer real client questions (SEO + trust). 'Not legal advice' disclaimer. Escalate to consultation for specifics. Track searches to expand content.
17,Practice-Area Deep Dive,"practice area, single service, seo, deep dive, ppc landing, conversion","1. Hero (specific problem + CTA), 2. How we help with this issue, 3. Process & timeline, 4. Results in this practice, 5. FAQ, 6. Consultation CTA",Consultation/eval CTA in hero + after process + bottom,Focused palette matching practice tone. Accent CTA at high contrast.,"Scroll reveals, process stepper, FAQ accordion, results counter",One practice area per page for SEO intent and PPC quality score. Speak to the specific problem. Local relevance (city/court). Strong single CTA.
18,Testimonials & Reviews Focused,"testimonials, reviews, social proof, ratings, clients, trust","1. Hero (aggregate rating + trust), 2. Featured video/text testimonials, 3. Reviews by practice area, 4. Third-party review badges, 5. Consultation CTA",Consultation CTA after testimonials + sticky call,Trust palette; star ratings in gold. Verified badges in success tone.,"Testimonial carousel, star-fill animation, video lightbox, review filtering",Third-party reviews (Google/Avvo) build more trust than on-site quotes. Video testimonials convert best. Respect client-confidentiality consent. Pair with results.
19,Multilingual Immigration Landing,"immigration, multilingual, bilingual, spanish, language, accessible, conversion","1. Language switcher + hero (hopeful, clear), 2. Visa/case-type guides, 3. Eligibility checker, 4. Reassurance (confidential, ICE-safe), 5. Contact (call/WhatsApp/form)",Language switcher top + contact CTA (call/WhatsApp) prominent,"Hopeful emerald/gold, accessible high contrast. Flags/tone welcoming, not clinical.","Language toggle, eligibility quiz, WhatsApp button, gentle reveals",Offer real translation (not just Google). Plain language for low-literacy/ESL. WhatsApp + phone beat forms for this audience. Confidentiality & know-your-rights.
20,Local SEO / Near-Me Landing,"local, near me, city, location, seo, gmb, community, conversion","1. Hero (city + practice + call), 2. Local proof (cases, community, courts served), 3. Map & directions, 4. Reviews from local clients, 5. Contact + hours",Click-to-call in hero + map contact block,Trust palette + map accent. Local imagery (skyline/courthouse) subtly.,"Map embed, click-to-call, review stars, directions button","Localize copy (city, county, courthouse names). Embed map + NAP consistency for local SEO. Reviews from local clients. Mobile click-to-call is the primary action."
21,Legal Webinar / CLE Registration,"webinar, cle, registration, event, training, continuing education, legal","1. Hero (topic + date + register form), 2. What you'll learn + CLE credits, 3. Speaker (attorney) bio, 4. Agenda, 5. Register (again)",Hero registration form + bottom anchor,Professional navy + urgency accent for deadline. High-contrast form.,"Countdown timer, speaker avatar, credit-badge highlight",State CLE-credit clarity is the hook. Show speaker authority. Limited-seat/urgency where genuine. Auto-detect timezone. Follow-up for on-demand replay.
22,Legal Product Demo,"demo, legal-tech, product, interactive, saas, trial, conversion","1. Hero (product + live preview/screenshot), 2. Guided feature tour, 3. Security & compliance, 4. Firm testimonials/logos, 5. Book demo / start trial",Book-a-demo (primary) + start-free-trial (secondary),Clean product palette; interactive elements highlighted. Security badges neutral.,"Interactive demo, tour tooltips, screenshot zoom, logo strip",Let buyers experience the product (interactive demo or sandbox). Address data security & confidentiality up front. Firm-size-relevant CTA (solo trial vs enterprise demo).
